单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
intellect [sound:w_intellect_90b1117f.mp3]	'intәlekt	—	n. 智力，才智；有才智的人	C1	Another and a better gift than <b class="hl">intellect</b> was shown her in a most unexpected manner. [sound:s_ch34_intellect_3523aed8.mp3]	比才智更美好的另一份礼物，以一种出人意料的方式展现在她面前。	little_women Ch34
conscience [sound:w_conscience_91ef791a.mp3]	'kɒnʃәns	noun	n. 良心，良知（on one's conscience 于心不安）	B2	Jo thought what a blaze her pile of papers upstairs would make, and her hard-earned money lay rather heavily on her <b class="hl">conscience</b> at that minute. [sound:s_ch34_conscience_32ff993b.mp3]	乔暗想，楼上那一堆文稿烧起来该多旺啊，而她辛苦挣来的钱，压在她心上却沉甸甸的……	little_women Ch34
philosopher [sound:w_philosopher_aa18b9dd.mp3]	fi'lɒsәfә	noun	n. 哲学家；达观的人（take philosophy 看开）	C1	Mr. Bhaer soon joined her, looking rather out of his element, and presently several of the <b class="hl">philosophers</b>, each mounted on his hobby, came ambling up to hold an intellectual tournament in the recess. [sound:s_ch34_philosopher_5b97b2d3.mp3]	巴尔先生很快也凑了过来，显得有点格格不入；不一会儿，几位“哲人”各自拿着……	little_women Ch34
hearth [sound:w_hearth_e824a6ac.mp3]	hɑ:θ	—	壁炉炉床；炉边	C1	Beth sat by the <b class="hl">hearth</b> that evening, watching the fire burn low. [sound:s_ch34_hearth_b89dba20.mp3]	钟敲了六下，贝丝扫完壁炉，把一双拖鞋放上去烤暖。	little_women Ch34(AI 补句)
gunpowder [sound:w_gunpowder_ae337436.mp3]	'gʌnpaudә	—	n. 火药	C1	The smell of <b class="hl">gunpowder</b> hung over the old battlefield. [sound:s_ch34_gunpowder_12557bf3.mp3]	硝烟的气味弥漫在这片古战场上。	little_women Ch34(AI 补句)
scorch [sound:w_scorch_18784810.mp3]	skɒ:tʃ	—	v. 烧焦，烫焦；（scorched 焦黄的）　n. 焦痕	C1	The hot iron <b class="hl">scorched</b> a brown patch on the linen. [sound:s_ch34_scorch_0a2c4ca3.mp3]	滚烫的熨斗在亚麻布上烫出一片焦黄的痕迹。	little_women Ch34(AI 补句)
esteem [sound:w_esteem_17b47e5a.mp3]	i'sti:m	—	n. 尊重，敬重（hold sb in esteem）　vt. 尊重	C1	She valued his <b class="hl">esteem</b>, she coveted his respect, she wanted to be worthy of his friendship, and just when the wish was sincerest, she came near to losing everything. [sound:s_ch34_esteem_d28e2c90.mp3]	她珍视他的尊重，渴望他的敬重，想配得上他的友谊，而正在她最想……	little_women Ch34
immortal [sound:w_immortal_8860b46b.mp3]	i'mɒ:tәl	—	a. 不朽的，流芳百世的　n. 不朽人物	C1	Like that <b class="hl">immortal</b> hero, she reposed awhile after the first attempt, which resulted in a tumble and the least lovely of the giant&#x27;s treasures, if I remember rightly. [sound:s_ch34_immortal_4d5769e2.mp3]	像那位不朽的英雄一样，她在第一次努力之后歇了一会儿，而那次尝试的结果是摔了一跤和……	little_women Ch34
regularity [sound:w_regularity_1bb2786a.mp3]	.regju'læriti	—	n. 规律性，规则（with regularity 有条不紊地）	C1	She paid her visits with great <b class="hl">regularity</b> every Sunday. [sound:s_ch34_regularity_47f76c9f.mp3]	每个礼拜天她都极有规律地前去拜访。	little_women Ch34(AI 补句)
incline [sound:w_incline_5ff2e90b.mp3]	in'klain	—	v. 倾向于（be inclined to）；使倾斜　n. 斜坡	C1	She sent this didactic gem to several markets, but it found no purchaser, and she was <b class="hl">inclined</b> to agree with Mr. Dashwood that morals didn&#x27;t sell. [sound:s_ch34_incline_b150d038.mp3]	她把这篇说教味十足的佳作投给了几家刊物，却无人问津，于是她也开始认同……	little_women Ch34
