word,cefr,first_seen,status,book,chapters,freq_book,sources,example_en,example_cn,recommended_date,card_exported
decidedly,c1,2026-08-29,active,little_women,1,30,little_women|ch1|30,"""I shall get a nice box of Faber's drawing pencils; I really need them,"" said Amy decidedly.",“我真的需要它们，”艾米说得斩钉截铁。,2026-08-29,1
slipper,c1,2026-08-29,active,little_women,1,22,little_women|ch1|22,"The clock struck six and, having swept up the hearth, Beth put a pair of slippers down to warm.",钟敲了六下，贝丝扫完壁炉，把一双拖鞋放上去烤暖。,2026-08-29,1
sigh,b2,2026-08-29,active,little_women,1,60,little_women|ch1|60,"""It's so dreadful to be poor!"" sighed Meg, looking down at her old dress.",“穷成这样太糟了！”梅格低头看着旧裙子叹气道。,2026-08-29,1
bundle,b2,2026-08-29,active,little_women,1,28,little_women|ch1|28,"Where are our bundles?"" asked Amy, who was a very literal young lady.",“我们的包袱在哪儿？”艾米问——她是个特别较真的姑娘。,2026-08-29,1
jolly,c1,2026-08-29,active,little_women,1,23,little_women|ch1|23,"It was a jolly little supper, with the sisters' laughter ringing round the table.",那是一顿愉快的小晚餐，姐妹们的笑声在桌边回荡。,2026-08-29,1
rose,b2,2026-08-29,active,little_women,2,62,little_women|ch2|62,"Born of roses, fed on dew, Charms and potions canst thou brew?",生于玫瑰，饮于露水，咒语与灵药你都能酿造？,2026-08-29,1
presently,c1,2026-08-29,active,little_women,2,28,little_women|ch2|28,"Presently a bell sounded, the curtains flew apart, and the operatic tragedy began.",不一会儿铃声响起，帷幕飞开，这部歌剧悲剧开场了。,2026-08-29,1
trifle,c1,2026-08-29,active,little_women,2,41,little_women|ch2|41,"There was a good deal of rustling and whispering behind the curtain, a trifle of lamp smoke, and an occasional giggle from Amy, who was apt to get hysterical in the excitement of the moment.",帷幕后面传来一阵窸窸窣窣和窃窃私语，一缕灯烟，还有艾米偶然冒出的一声笑——她动不动就会歇斯底里。,2026-08-29,1
truly,b2,2026-08-29,active,little_women,1,26,little_women|ch1|26,"Save me!'"" and away went Jo, with a melodramatic scream which was truly thrilling.",“太难得了，真是妙极了。”,2026-08-29,1
neglect,c1,2026-08-29,active,little_women,2,21,little_women|ch2|21,"We used to be faithful about it, but since Father went away and all this war trouble unsettled us, we have neglected many things.",我们过去对这件事一直很上心，可自从爸爸离家、战乱让大家心神不宁，许多事情都被我们忽略了。,2026-08-29,1
queer,c1,2026-08-29,active,little_women,2,30,little_women|ch2|30,"Fortunately it was early, and they went through back streets, so few people saw them, and no one laughed at the queer party.",幸好天色还早，他们走的是后街，所以没人看见，谁也没有笑话这支怪模怪样的队伍。,2026-08-29,1
sketch,c1,2026-08-29,active,little_women,1,27,little_women|ch1|27,Jo pulled a pencil from her pocket and dashed off a hasty sketch of the room on the back of an old envelope.,乔从衣袋里掏出铅笔，在旧信封背面匆匆勾了一幅姐妹们的速写。,2026-08-29,1
delight,b2,2026-08-29,active,little_women,1,45,little_women|ch1|45,"Beth ate no more, but crept away to sit in her shadowy corner and brood over the delight to come, till the others were ready.",贝丝不再吃东西，悄悄溜到她阴暗的角落里坐下，心里盘算着即将到来的欢乐，直到大家准备就绪。,2026-08-29,1
tone,b2,2026-08-29,active,little_women,1,81,little_women|ch1|81,"""I know I do—teaching those tiresome children nearly all day, when I'm longing to enjoy myself at home,"" began Meg, in the complaining tone again.",“我知道——整天教我那些烦人的学生，而我巴不得待在家里好好享福。”梅格又用那抱怨的语气开了口。,2026-08-29,1
tire,b2,2026-08-29,active,little_women,1,66,little_women|ch1|66,"Jo, you look tired to death.",乔，你看上去累坏了。,2026-08-29,1
tear,b2,2026-08-29,active,little_women,1,74,little_women|ch1|74,"Amy's eyes were full of tears, and she declared she would never speak of her pears again.",艾米眼里噙着泪，说她再也不提她的梨子了。,2026-08-29,1
satisfy,b2,2026-08-29,active,little_women,1,59,little_women|ch1|59,The small store of things they had seemed to satisfy their simple wants.,她们手里那点微薄的东西，似乎就足以满足她们朴素的愿望。,2026-08-29,1
spite,b2,2026-08-29,active,little_women,1,77,little_women|ch1|77,"""You said the other day you thought we were a deal happier than the King children, for they were fighting and fretting all the time, in spite of their money."" ""So I did, Beth.",“你前几天说，我们比金家的孩子幸福多了，因为他们一天到晚打架吵嘴，尽管有钱。”,2026-08-29,1
seldom,b2,2026-08-29,active,little_women,1,33,little_women|ch1|33,"Elizabeth, or Beth, as everyone called her, was a rosy, smooth-haired, bright-eyed girl of thirteen, with a shy manner, a timid voice, and a peaceful expression which was seldom disturbed.",伊丽莎白——大家都叫她贝丝——是个十三岁的姑娘，面色红润，头发顺滑，眼睛明亮，举止羞怯，声音怯怯的，神情安详。,2026-08-29,1
lean,b2,2026-08-29,active,little_women,1,41,little_women|ch1|41,"Jo leaned her chin on her hand and lay staring at the fire, lost in a pleasant dream.",乔一只手托着下巴，靠在窗边，望着外面的雨出神。,2026-08-29,1
comfort,b2,2026-08-29,active,little_women,1,94,little_women|ch1|94,"Tell them I think of them by day, pray for them by night, and find my best comfort in their affection at all times.",告诉他们，我白天想着她们，夜里为她们祈祷，最大的慰藉就是在任何时候都拥有她们的爱。,2026-08-29,1
resolve,b2,2026-08-29,active,little_women,1,34,little_women|ch1|34,She resolved firmly that she would do better next time.,她下定决心，下一次一定要做得更好。,2026-08-29,1
soul,b2,2026-08-29,active,little_women,1,50,little_women|ch1|50,She put her whole soul into the little song.,她把整个心灵都融进了那支歌里。,2026-08-29,1
grace,c1,2026-08-29,active,little_women,2,27,little_women|ch2|27,"He consents without a murmur, all join in a joyful chorus, and the curtain falls upon the lovers kneeling to receive Don Pedro's blessing in attitudes of the most romantic grace.",他毫无怨言地答应了，众人齐声唱起欢乐的合唱，帷幕在恋人们跪着接受唐·佩德罗祝福的姿态中落下，那姿态优雅极了。,2026-08-29,1
whisper,b2,2026-08-29,active,little_women,2,53,little_women|ch2|53,"Beth nestled up to her, and whispered softly, ""I wish I could send my bunch to Father.",贝丝依偎着她，轻声低语道：“我真想把我那束花寄给爸爸。”,2026-08-29,1
lover,b2,2026-08-29,active,little_women,2,32,little_women|ch2|32,"Act third was the castle hall, and here Hagar appeared, having come to free the lovers and finish Hugo.",第三幕是城堡大厅，哈加现身了，她来解救这对恋人，了结雨果。,2026-08-29,1
cheek,b2,2026-08-29,active,little_women,2,44,little_women|ch2|44,"Jo put her arm round her and, leaning cheek to cheek, read also, with the quiet expression so seldom seen on her restless face.",乔搂住她，脸颊贴着她的脸颊，也跟着读起来，脸上带着那副在她不安分的脸上难得一见的宁静神情。,2026-08-29,1
sofa,b2,2026-08-29,active,little_women,2,41,little_women|ch2|41,Amy curled up on the sofa with a book and a dish of bonbons.,艾米蜷在沙发上，捧着一本书，旁边放着一碟糖果，自得其乐。,2026-08-29,1
handsome,b2,2026-08-29,active,little_women,2,44,little_women|ch2|44,"Mr. Brooke was a quiet young man, not handsome, but kind and steady.",布鲁克先生是个安静的年轻人，算不上英俊，但善良而沉稳。,2026-08-29,1
honor,b2,2026-08-29,active,little_women,2,30,little_women|ch2|30,"Three cheers for Marmee!"" cried Jo, prancing about while Meg went to conduct Mother to the seat of honor.",“为妈妈三呼万岁！”乔嚷着，蹦蹦跳跳，而梅格去把母亲领到荣誉的座位上。,2026-08-29,1
satisfaction,b2,2026-08-29,active,little_women,2,48,little_women|ch2|48,"No gentleman were admitted, so Jo played male parts to her heart's content and took immense satisfaction in a pair of russet leather boots given her by a friend, who knew a lady who knew an actor.",没有男士入场，乔便尽情出演男角，过足了戏瘾，还从一位朋友那里得到一双黄褐色的皮靴，穿着它让她得意非凡。,2026-08-29,1
agreeable,c1,2026-08-29,active,little_women,2,22,little_women|ch2|22,"The girls had never been called angel children before, and thought it very agreeable, especially Jo, who had been considered a 'Sancho' ever since she was born.",姑娘们还从没被人叫作天使般的孩子，觉得这话非常受用，尤其是乔——她自打出生起就被看作“桑丘”。,2026-08-29,1
pillow,b2,2026-08-29,active,little_women,2,28,little_women|ch2|28,"She woke Meg with a ""Merry Christmas,"" and bade her see what was under her pillow.",她先喊一声“圣诞快乐”叫醒梅格，让她看看枕头底下有什么。,2026-08-29,1
softly,b2,2026-08-29,active,little_women,2,28,little_women|ch2|28,"Beth nestled up to her, and whispered softly, ""I wish I could send my bunch to Father.",贝丝依偎着她，轻轻地说：“我真想把我那束花寄给爸爸。”,2026-08-29,1
rush,b2,2026-08-29,active,little_women,2,28,little_women|ch2|28,"I told you so!"" With wonderful presence of mind, Don Pedro, the cruel sire, rushed in, dragged out his daughter, with a hasty aside . . .",“我早告诉过你！”冷酷的父亲唐·佩德罗反应神速地冲了进来，一把拖走女儿，匆匆丢下一句旁白……,2026-08-29,1
precious,b2,2026-08-29,active,little_women,2,30,little_women|ch2|30,"A green-covered book appeared, with the same picture inside, and a few words written by their mother, which made their one present very precious in their eyes.",一本绿皮书出现了，里面画着同样的图画，还有母亲写下的几句话，使她们这唯一的礼物在眼里变得弥足珍贵。,2026-08-29,1
carriage,c1,2026-08-29,active,little_women,3,23,little_women|ch3|23,"""I can't have a carriage without its costing ever so much.",“我没法置办马车，那要花费太多。”,2026-08-29,1
amuse,c1,2026-08-29,active,little_women,3,48,little_women|ch3|48,"She could not roam about and amuse herself, for the burned breadth would show, so she stared at people rather forlornly till the dancing began.",她不能到处闲逛自娱自乐，因为烧坏的那截裙边会露出来，所以她只能颇为落寞地盯着人们，直到黄昏。,2026-08-29,1
peep,c1,2026-08-29,active,little_women,3,31,little_women|ch3|31,Both peeped and criticized and chatted till they felt like old acquaintances.,两人又偷看、又品评、又闲聊，很快就觉得像老相识了。,2026-08-29,1
lad,c1,2026-08-29,active,little_women,3,26,little_women|ch3|26,"I won't go before seventeen, anyway."" ""Aren't you but fifteen?"" asked Jo, looking at the tall lad, whom she had imagined seventeen already.",“可不管怎样，我十七岁之前不去。”“你难道才十五岁吗？”乔问道，打量着这个高个子少年——她原以为他十七岁了。,2026-08-29,1
spoil,b2,2026-08-29,active,little_women,3,50,little_women|ch3|50,I'm spoiled!,“我就是被惯坏的孩子！”,2026-08-29,1
hearty,c1,2026-08-29,active,little_women,3,24,little_women|ch3|24,Mr. Lawrence received them with a hearty welcome and a warm handshake.,劳伦斯先生热情洋溢地接待了他们，握手亲切而有力。,2026-08-29,1
silk,b2,2026-08-29,active,little_women,3,31,little_women|ch3|31,"""If I only had a silk!"" sighed Meg.",“我要是有一条丝绸裙就好了！”梅格叹道。,2026-08-29,1
dare,b2,2026-08-29,active,little_women,3,46,little_women|ch3|46,"She telegraphed her wish to Meg, but the eyebrows went up so alarmingly that she dared not stir.",她把愿望做手势传给梅格，可梅格的眉毛挑得那么吓人，她不敢再轻举妄动。,2026-08-29,1
fellow,b2,2026-08-29,active,little_women,3,62,little_women|ch3|62,"Laurie proved a jolly fellow, full of fun and high spirits.",劳里原来是个快活的小伙子，浑身是趣，兴致勃勃。,2026-08-29,1
scold,c1,2026-08-29,active,little_women,3,22,little_women|ch3|22,"Hannah scolded, Meg cried, and Jo was at her wits' end, till she decided to take things into her own hands.",汉娜直骂，梅格直哭，乔束手无策，最后决定自己拿主意。,2026-08-29,1
blush,c1,2026-08-29,active,little_women,3,21,little_women|ch3|21,"I see you pegging away at your books, no, I mean studying hard."" And Jo blushed at the dreadful 'pegging' which had escaped her.",“我看你成天啃书——不，我是说用功读书。”说到漏嘴的“啃书”二字，乔脸红了。,2026-08-29,1
tender,b2,2026-08-29,active,little_women,3,67,little_women|ch3|67,"Don't you see?"" ""Your hands are bigger than mine, and you will stretch my glove dreadfully,"" began Meg, whose gloves were a tender point with her.",“你的手比我的大，准会把我手套撑坏。”梅格开口道——手套正是她的一个痛点。,2026-08-29,1
absorb,b2,2026-08-29,active,little_women,3,32,little_women|ch3|32,"On New Year's Eve the parlor was deserted, for the two younger girls played dressing maids and the two elder were absorbed in the all-important business of 'getting ready for the party'.",除夕夜客厅空无一人，两个小些的姑娘去当梳妆丫鬟，两个大些的正全神贯注地忙着打扮。,2026-08-29,1
regret,b2,2026-08-29,active,little_women,3,31,little_women|ch3|31,"I'm so sorry, but the tongs were too hot, and so I've made a mess,"" groaned poor Jo, regarding the little black pancakes with tears of regret.",“真抱歉，火钳太烫了，都让我弄糟了。”可怜的乔望着那几张黑乎乎的小饼叹气道。,2026-08-29,1
