单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源	AI解析	词义概述
trustee [sound:w_trustee_511068d2.mp3]	.trʌs'ti:	noun	n.（慈善机构的）理事，董事	C1	Had—O horrors!—one of the <b class="hard">cherubic</b> little <b class="hard">babes</b> in her own room F &#x27;sauced&#x27; a <b class="hl">Trustee</b>? [sound:s_ch01_trustee_10cde5c5.mp3]	“天哪，太可怕了！难道是她自己F房间里那个天使般的小家伙‘顶撞’了一位理事？”	daddy_long_legs Ch1	<b>1. 逐项解析</b><br><br>• <b>Had</b>:助动词,与句末的过去分词 sauced 构成过去完成时的疑问句 (Had … sauced?),表示「是不是曾经……/难道竟然……过」,把一个反问的悬念放到句首。<br><br>• <b>—O horrors!—</b>:由两个破折号夹起来的插入感叹语,相当于「天哪,太可怕了!」,是说话人声音里夸张的惊呼,也让整句带上诙谐的戏剧腔。<br><br>• <b>one of the cherubic little babes</b>:介词 of 构成的名词短语,作句子的主语,即「这些天使般的小家伙当中的一个」。cherubic 意为「天使般的」,babes 是 baby 的口语复数,整块主语充满夸张的怜爱口吻。<br>– <b>cherubic</b><b class="hard">(超纲词)</b>:形容词,超纲词,读作 /tʃeˈruːbɪk/,「天使般天真可爱的」。来自 cherub(小天使,常被画成胖乎乎、背生双翅的婴孩)加形容词后缀 -ic。这里略带反讽:一个天使样的小娃娃竟会顶撞理事。<br>– <b>babes</b><b class="hard">(超纲词)</b>:名词复数,超纲词,baby 的口语变体:把词尾 -y 换作 -e,读作 /beɪbz/,指「小娃娃、小家伙」。口语里 babe 也可当对爱人的昵称(宝贝)。<br><br>• <b>in her own room F</b>:介词短语 in her own room 后接房间编号 F,作定语修饰前面的 babes,把「这个让人操心的小家伙」限定在某位姑娘的 F 号房间里。译作「她(们)自己房间 F 里的」。<br><br>• <b>&#x27;sauced&#x27;</b>:句子的谓语动词,意思是「(对…)顶嘴、无礼」。sauce 本是名词「酱汁」,此处转作动词是口语俚语;原文特意加上单引号,点明这是从孤儿院孩子们嘴里学来的「黑话」。<br>– <b>sauced</b>:动词口语用法:sauce 作及物动词意为「对…没有礼貌、顶撞」,相当于 sass。短语动词三态为 sauce - sauced - sauced。原文用单引号标注,表示这是个借来的、孩子气的口语词。<br><br>• <b>a Trustee?</b>:句子的宾语,不定冠词 a 加首字母大写的 Trustee,指「某一位理事」。Trustee 之所以大写,是因为在《长腿叔叔》里它专指孤儿院理事会成员,尤其是那位匿名资助人。<br>– <b>Trustee</b><b class="hl">(目标词)</b>:名词,读作 /ˌtrʌsˈtiː/,「(慈善机构的)理事、董事;受托人」。由 trust(信托、托管)加名词后缀 -ee(表「被…的人」,如 employee、trainee)构成,即「受托打理他人财产/机构的人」。孤儿院理事会正是由这类出资人组成。<br><br><b>2. 整句解读</b><br>这是一个过去完成时的反问句,中间插进「天哪,太可怕了!」的惊呼:那个住在她 F 号房间、长得天使一般的小胖娃娃,竟然顶撞了一位理事?把 Had 提前到句首制造悬念,再用带引号的俚语词 sauced 收尾,把一个「以下犯上」的滑稽场面讲得既惊且喜。<br><br><b>3. 文化点</b><br>Trustee(理事)指孤儿院托管委员会的成员,通常由出资的慈善家担任,是孤儿院最大的恩主。20 世纪初的孤儿院里,孩子们被要求对理事感恩戴德、毕恭毕敬,被训话时连吭声都不许。所以「一个婴儿竟敢顶撞理事」在朱鲁莎笔下成了骇人听闻的僭越,而 sauce 这种孩子气的俚语,只属于孤儿院内部的园地。	想象一个圆滚滚的天使宝宝踮起脚尖,朝一位头戴礼帽、西装笔挺的理事大叔「哼」地扬了扬下巴——大叔的胡子都吓翘了。
asylum [sound:w_asylum_598b0ce9.mp3]	ә'sailәm	noun	n. 孤儿院；收容所	C1	Now you are finishing that, and of course the <b class="hl">asylum</b> cannot be responsible any longer for your support. [sound:s_ch01_asylum_1646073f.mp3]	如今你已经毕业，孤儿院当然就不再负担你的生活费了。	daddy_long_legs Ch1	<b>1. 逐项解析</b><br><br>• <b>Now you are finishing that,</b>:以时间副词 Now 起句,主句一用现在进行时,「你现在正在把这件事收尾」——上文指完成学业,译文处理成「如今你已经毕业」。<br><br>• <b>and of course</b>:并列连接词加插入语,「而且,当然……」,带一点公事公办的理所当然,暗示接下来的结论用不着争辩。<br><br>• <b>the asylum cannot be responsible any longer</b>:主句二的主干:主语 the asylum(孤儿院),情态否定 cannot,表语 be responsible;any longer 是时间状语,与 cannot 呼应,表示「再也不能继续负责下去了」。<br>– <b>asylum</b><b class="hl">(目标词)</b>:名词,读作 /əˈsaɪləm/,此处作「孤儿院」解。本义是「庇护所、避难所」,政治避难就叫 political asylum;19 世纪的孤儿院常被称作 orphan asylum,即收容无依无靠者的机构.<br>– <b>responsible</b>:形容词「有责任的」,固定搭配 be responsible for = 为…负责;对应名词 responsibility。这里负责的对象不是人,而是「负担生活费」这件事。<br><br>• <b>for your support.</b>:介词短语,点明负责的对象,即「你(日后的)生活供养」,译文处理成「负担你的生活费」。<br>– <b>support</b>:名词,这里不作「支持」而作「生活费、供养费」解,指供养一个人的钱财;动词 support 正是「供养、养活」。<br><br><b>2. 整句解读</b><br>前半句确认朱鲁莎的现状——你就要完成学业了;后半句以「孤儿院今后自然不再负担你的生活费」点明制度上的交代。语气公事公办:你一旦自立,孤儿院与你之间的供养关系就算两清。中间的 and of course 把这层转折说得轻描淡写、不容置疑。<br><br><b>3. 文化点</b><br>19 世纪末到 20 世纪初的美国孤儿院,孩子多半被抚养到能够自立或读完书为止,之后院方便免除抚养义务。朱鲁莎能继续升大学,靠的是匿名理事「长腿叔叔」的私人资助而非孤儿院本身——本句正是在划清这层界线。	想象一份泛黄的登记表上盖着「年满自立,供养终止」的红章,朱鲁莎站在孤儿院大铁门外,身后的门缓缓合上——可她手里攥着一封密封的信,里面是一张去大学城的火车票。
allowance [sound:w_allowance_4da8d5d4.mp3]	ә'lauәns	noun	n. 津贴，零用钱	C1	He is giving you a very liberal <b class="hl">allowance</b>, almost, for a girl who has never had any experience in taking care of money, too liberal. [sound:s_ch01_allowance_5ebcf76c.mp3]	他给你的零用钱非常宽裕——对一个从没管过钱的姑娘来说，几乎太多了。	daddy_long_legs Ch1	<b>1. 逐项解析</b><br><br>• <b>He is giving you a very liberal allowance,</b>:主句,现在进行时,双宾语结构 give somebody something,「他(正在)给你一份非常宽裕的零用钱」。liberal 在这里是「慷慨大方」,不是「自由主义」的意思。<br>– <b>allowance</b><b class="hl">(目标词)</b>:名词,读作 /əˈlaʊəns/,「津贴;零用钱」。由动词 allow(允许)加名词后缀 -ance 构成,本义是「被允许拨给的份额」,引申为定期给付的一笔钱。常用搭配 a generous/liberal allowance(宽裕的津贴)。<br>– <b>liberal</b>:形容词「慷慨的、大量的」,这里指钱给得宽裕、出手大方;身份为「自由主义」是另一个义项,不要混淆。近义词 generous,反义词 miserly。<br><br>• <b>almost,</b>:独立的插入语,表「几乎」。把话头轻轻一顿,为下文的 too liberal 铺垫一个转折的台阶。<br><br>• <b>for a girl who has never had any experience in taking care of money,</b>:介词短语作限定状语,「对一个从没打理过钱的姑娘来说」;其中 who 引导定语从句修饰 girl,in taking care of money 是「在理财方面」的经验。<br>– <b>experience</b>:名词「经验」,不可数时有 experience (in) doing something 的用法,表示「在某方面有经验」。注意可数时有 experience 又指一次「经历、阅历」。<br><br>• <b>too liberal.</b>:承前省略主谓的补足语,补全即 (the allowance is) too liberal「(这笔津贴)未免太宽裕了」。与前面的 very liberal、almost 形成「宽裕—几乎—太多」层层递进的语势。<br><br><b>2. 整句解读</b><br>说话人感叹那份零用钱出入意料地宽裕:他给你的钱实在太多了——对一个从来没有管钱经验的姑娘来说,几乎可以说是过分了。句子以 very liberal 起、以 too liberal 收,中间用 almost 和 for a girl who… 微微一顿,把「惊叹里有担忧」的口吻写得自然又熨帖。<br><br><b>3. 文化点</b><br>当时大学女生已有按月领零用钱的惯例,钱由监护人定期拨付。结合后文可知这份津贴每月三十五美元,在二十世纪初是相当可观的数目,所以 too liberal 并非夸张,也为朱鲁莎日后学着理财埋下伏笔。	想象朱鲁莎第一次拆开那封信,一沓崭新的票子滑落在她手心,比她在孤儿院见过的所有钱加在一起还厚——她盯着钞票,眼睛瞪得比铜板还圆。
correspond [sound:w_correspond_6a78e139.mp3]	.kɒri'spɒnd	verb	v. 通信；（与）相符	C1	Since you have no family with whom to <b class="hl">correspond</b>, he desires you to write in this way; also, he wishes to keep track of your progress. [sound:s_ch01_correspond_641ad02c.mp3]	既然你没有可以通信的家人，他希望你按这种方式写信；他也想随时了解你的进步。	daddy_long_legs Ch1	<b>1. 逐项解析</b><br><br>• <b>Since you have no family with whom to correspond,</b>:Since 引导原因状语从句「既然……」;with whom to correspond 是「介词 + 关系代词 + 不定式」的定语结构,修饰 family,意为「没有可以与之通信的家人」,介词 with 提前到 whom 之前,是正式书面语的句式。<br>– <b>correspond</b><b class="hl">(目标词)</b>:不及物动词,读作 /ˌkɒrɪˈspɒnd/,「通信;相符」。与通信的对象搭配用 with:correspond with somebody 与某人通信;另一个义项「与…相符、相对应」用 correspond to/with something。词源 cor-(共同,相互)加 respond(回应),即「互有回应」——书信往来正是互相回应的交流。<br><br>• <b>he desires you to write in this way;</b>:主句一,谓语是 desire somebody to do something,「他希望你按这种方式写信」;in this way 指上文确立的「定期写信汇报」的方式。<br>– <b>desire</b>:及物动词「期望、渴望」,语气比 want 郑重、正式,常见于信函、公文;作名词时意为「愿望、欲望」。<br><br>• <b>also,</b>:递进连接词,「此外、同时」,引出并列的第二个安排。<br><br>• <b>he wishes to keep track of your progress.</b>:主句二:他(还)希望随时掌握你的学业进展。keep track of 意为「持续追踪、不脱线地掌握」。<br>– <b>keep track of</b>:短语动词「记录、追踪、随时掌握」,反义是 lose track of(跟丢、失去线索)。track 本义是「轨迹、足迹」,keep track 即「始终踩在轨迹上」。<br><br><b>2. 整句解读</b><br>前提与安排扣得极紧:既然你没有可以通信的家人——那么,他就希望你以写信这种方式来交流;除此之外,他还想借这些信随时掌握你的进步。前一句交代理由,后两句交代安排,把「通讯对象空缺」与「写信的义务」死死拴在一起。<br><br><b>3. 文化点</b><br>书信体是《长腿叔叔》的骨架:匿名的资助人要求受助学生按月写信,权当「代替家人」的汇报与交流。这既是慈善的安排,也成了整部小说唯一的叙事通道。句中的介词提前句式(with whom to correspond)属于正式书面英语,正合这一类信托文件庄重的口吻。	想象一只白鸽衔着信从孤儿院腾空而起,飞向远山下一座高塔——塔楼上,一双看不见的长腿翘在桌上,读完信后提笔,在一张「进步记录表」的格子里郑重打上一个勾。
pantry [sound:w_pantry_d2ea75fb.mp3]	'pæntri	—	n. 食品储藏室，配餐室	C1	Jerusha escaped from the <b class="hl">pantry</b> where she had been making sandwiches for the asylum&#x27;s guests, and turned upstairs to accomplish her regular work. [sound:s_ch01_pantry_13995f2f.mp3]	朱鲁莎从配餐室逃了出来——她一直在给孤儿院的客人们做三明治——上楼去干她平时的活儿。	daddy_long_legs Ch1	<b>1. 逐项解析</b><br><br>• <b>Jerusha escaped from the pantry</b>:主句的起笔:主语 Jerusha(朱鲁莎)+ 不及物动词 escaped + 介词短语 from the pantry,写她「从配餐室溜了出来」,一个 escape 已见机灵劲儿。<br>– <b>pantry</b><b class="hl">(目标词)</b>:名词,读作 /ˈpæntri/,「食品储藏室;配餐室」,指厨房旁用来存放面包、食材、餐具的小房间。词源可溯至法语 paneterie(面包房),源头是 pain(面包),所以它天生跟「备餐」相关。<br>– <b>escaped</b>:动词 escape 的过去式,「逃出、溜走」,不及物时后接 from 表示「从某处脱身」;作名词时意为「逃脱」。这里写她不想被使唤,故意逃开。<br><br>• <b>where she had been making sandwiches for the asylum&#x27;s guests,</b>:where 引导定语从句,先行词是 the pantry;谓语用过去完成进行时 had been making,强调「此前一直在给孤儿院的客人们赶做三明治」这一持续状态,为后面「开溜」提供背景。<br><br>• <b>and turned upstairs</b>:并列谓语,接在 escaped 之后,「接着转身上楼」。upstairs 作副词,表示「朝楼上」,译文处理为「上楼」。<br><br>• <b>to accomplish her regular work.</b>:不定式短语作目的状语,「以便完成她每日例行的活儿」。<br>– <b>accomplish</b>:及物动词「完成、做成」,accomplish one&#x27;s work 即把分内事做完;名词是 accomplishment。注意别和形容词 accomplished(有造诣的、多才多艺的)混为一谈。<br><br><b>2. 整句解读</b><br>动作在两个节点之间轻快滑过:上一刻她还在配餐室里给孤儿院的客人赶做三明治,下一刻就撒腿溜出配餐室,转身上楼,去完成自己分内的日常活儿。定语从句交代背景,主句一气呵成写「逃—上楼—干活」,一个机灵、麻利又分寸在心的少女形象跃然纸上。<br><br><b>3. 文化点</b><br>孤儿院的孩子常被使唤待客:慈善人士来访时,院里便让孩子们备餐、端茶。pantry 是老式英美住宅设于厨房旁的食品储配室,而朱鲁莎把侍候客人的活儿跟自己「分内的工作」分开看待,足见她在心里早已把自己和这个寄养之所悄悄拉开了距离。	想象朱鲁莎从堆满面包和果酱的配餐室门缝里钻出来,围裙带子都没来得及解,踩着小鹿一般轻快的步子一溜烟上了楼——身后还飘着客人们的说笑声。
tuition [sound:w_tuition_faca8625.mp3]	tju:'iʃәn	noun	n. 学费	C1	Your board and <b class="hl">tuition</b> will be paid directly to the college, and you will receive in addition during the four years you are there, an allowance of thirty-five dollars a month. [sound:s_ch01_tuition_ac2597cf.mp3]	你的膳宿费和学费将直接付给学校；此外在大学四年里，你每月还会领到三十五美元的津贴。	daddy_long_legs Ch1	<b>1. 逐项解析</b><br><br>• <b>Your board and tuition will be paid directly to the college,</b>:被动句:主语是 Your board and tuition,「你的膳宿费和学费」;will be paid 后面直接接 to the college,表示这笔钱由对方直接汇付给学校,不经受助者之手。用被动略去施动者,读来更像正式的制度安排而非私人施舍。<br>– <b>board</b>:名词,此处作「膳食(及住宿)」解,board and lodging 即「膳宿」,board and tuition 是「食宿与学费」。本义是「木板、板子」,由「桌面」引申到「摆饭菜的餐桌」,再到「饭食」。<br>– <b>tuition</b><b class="hl">(目标词)</b>:名词,读作 /tjuˈɪʃn/,「学费」,尤指大学等学术机构的学费;英国中小学的学费常称 school fees。词源与 tutor(导师、辅导)同族,都来自拉丁语「看护、教导」。<br><br>• <b>and you will receive in addition</b>:并列分句,「此外你还将领到……」;in addition 是正式语体的「除此之外、另外」。<br>– <b>in addition</b>:介词短语,作状语,表「此外、在(已有的一笔)之外」,与 besides 同义;后接名词时用 in addition to something。<br><br>• <b>during the four years you are there,</b>:时间状语,「在你上大学的四年期间」;you are there 是省略了关系副词(when/that)的定语从句,修饰 the four years。<br><br>• <b>an allowance of thirty-five dollars a month.</b>:直接宾语,紧接「领到」的内容:一份每月三十五美元的津贴。数目写成拼写形式 thirty-five,像条款一样工整清楚。<br>– <b>allowance</b>:名词,与前面第三个目标词同词,「津贴、零用钱」。此处呼应前文那份「太过宽裕」的月钱,正是每个月三十五美元这一笔。<br><br><b>2. 整句解读</b><br>两笔账分得清清楚楚:一笔——你的膳宿与学费,由对方直接付给学校,不经你手;另一笔——在此之外,你上大学那四年间,每月还能另得三十五美元津贴。被动句与 in addition 的分量感,把这份慈善安排说得既有契约效力,又带着可感可触的实惠。<br><br><b>3. 文化点</b><br>二十世纪初美国大学一年的食宿费不过一两百美元的量级,每月三十五美元的零用堪称阔绰,正好印证了前文那句 too liberal。资助人把款项直接汇给学校而非交给学生本人,是慈善界为防挪用、保专款的通行做法;《长腿叔叔》开篇的这封信,正是这套安排的成文契约。	想象一张账目十分工整的单子:一行蓝墨字「膳宿与学费——直付学院」,下一行红墨字「每月零花:三十五美元,交予朱鲁莎本人」,落款处一个潦草得横七竖八的签名,活像两条长腿。
predecessor [sound:w_predecessor_893a2adb.mp3]	.predi'sesә	noun	n. 前任；前身	C1	But this particular first Wednesday, like its <b class="hl">predecessors</b>, finally dragged itself to a close. [sound:s_ch01_predecessor_d6cb50ee.mp3]	不过这特定的第一个星期三，同以往的每一个一样，总算慢慢挨过去了。	daddy_long_legs Ch1	<b>1. 逐项解析</b><br><br>• <b>But this particular first Wednesday,</b>:转折连词 But 领起整个主语的起始部分,相当于一个承前启后的「不过」。this(限定词)＋particular(特定的)＋first Wednesday(第一个星期三)三层一顶顶叠上去,把「今天」从一长串日子里单挑出来钉死;particular 在这里是语气放大器,强调「不多不少就这一个星期三」。译文「不过这特定的第一个星期三」正是逐层对应这四层。<br>– <b>particular</b>:形容词,「特定的、具体的」。与 this/that 连用把指认推到最精确:this particular first Wednesday 即「就这一个星期三」。口语里 in particular 是「尤其、特别」,同词根,此处是形容词义。<br><br>• <b>like its predecessors,</b>:被两个逗号隔开的插入性介词短语,作方式状语,意思是「和它之前的那些同类一样」。like 引出比较;its predecessors 把此前每一个类似的星期三都当成一队「前任」来称呼——日子像人一样排队交接班,笨拙又俏皮。译文把笼统的「前任们」还原成「以往的每一个」。<br>– <b>predecessor</b><b class="hl">(目标词)</b>:名词,「前任;前身」。构词:pre-(在前)＋cess-(拉丁词根,行走)＋-or(表人或物),字面是「走在前面的人/物」。可指人(前任上司)也可指物(旧版本、此前的事物);本句把先前一个个相似的星期三都唤作 predecessors,是带拟人味的活用。别和 decedent(去世者)混同;同根词还有 proceed、recede。<br><br>• <b>finally dragged itself to a close.</b>:谓语部分,也是全句最出彩的地方:finally(终于)＋dragged itself(把自己一路拖拽)＋to a close(走向结束)。主语是「星期三」,它却有反身代词 itself、有 drag 的动作——拟人把时间写成一件有重量、要费老大力气才拖得动的行李。译文「总算慢慢挨过去了」,一个「挨」字把 drag 的吃力感接得严丝合缝。<br>– <b>drag itself to a close</b>:重要搭配,「拖着走到结束、艰难收场」。drag 本义「用力拖拽」,比 draw(轻轻拉)费力得多;加反身 itself,让时间/会议/日子像「自己拖着自己走」。同类说法 come/draw to a close(接近尾声),但 drag 独有的吃力感才是这句话的题眼。<br><br><b>2. 整句解读</b><br>「这特定的第一个星期三」在小说里正是孤儿院每月一次的来访日——一到这天,大孩子要排成一排任凭外人挑选,是 Judy 又怕又恨的日子。它和之前每一个这样的星期三一样,过得格外漫长:时间像件重物,被这个星期三一路「拖」到结束。particular 把目光钉死在这一个日子上,like its predecessors 让它和过去一长串同类日子排成一队,finally 再从这一堆里捞出「总算熬完」的解脱。三个成分层层加压,把「难熬」写到透,而整句又以俏皮的拟人口吻出之,正是女主角写信的调子。<br><br><b>3. 文化点</b><br>《长腿叔叔》(Jean Webster 著,1912 年美国书信体小说)开篇就写孤儿院「每月第一个星期三」:那是院方统一接待外人来访、可能把孩子领走的可怕日子,大些的孤儿被迫排队「展示」,小 Judy 对这一天又怕又恨。这句里的「第一个星期三」和它的「前任们」,指的正是这每月循环的煎熬日,与后来她进大学后的生活形成对照。	月历上一排穿西装的「前任星期三」排着队走远,你排在队尾,正目送它们一个个离场。
wrench [sound:w_wrench_84aafb84.mp3]	'rentʃ	—	v. 猛扭，挣脱 n. 扳手；（离别的）痛苦	C1	Jerusha <b class="hl">wrenched</b> herself from the window and refaced the troubles of life. [sound:s_ch01_wrench_d94f8759.mp3]	朱鲁莎使劲从窗边扭回身，重新面对生活的种种烦恼。	daddy_long_legs Ch1	<b>1. 逐项解析</b><br><br>• <b>Jerusha</b>:主语,女主人公的人名。她是孤儿院长大的少女、全书一百多封信的写信人,中文音译「朱鲁莎」。专有名词不译义,保留音感即可。<br><br>• <b>wrenched herself from the window</b>:谓语加宾语的核心动作:wrench(猛扭、硬拽)＋herself(反身代词,指她自己)＋from the window(从窗边)。整个结构是「把自己用力从窗边拧开」,反身用法表明她并非轻快转身,而是需要跟自己的留恋较一把劲才抽得回身。译文「使劲从窗边扭回身」,把 wrench 的「拗劲」和 from 的「离开」都收拾了。<br>– <b>wrench</b><b class="hl">(目标词)</b>:动词,「猛扭、挣脱」:像用扳手卡住生锈螺栓猛地一别,常及物搭配 wrench sth from/away/off。名词义两个:一是「扳手」(同一动作的器物化,英式也说 spanner);二是「(离别的)痛苦」,由「被硬生生从牵绊里扯开」的撕裂感引申,如 It was a wrench to leave home。本句取动词义,wrench oneself from 极有画面。形近词别与 wince、rinse 搞混。<br><br>• <b>and refaced the troubles of life.</b>:and 连接第二个动作,这里并列的是两个谓语动词:reface(重新面对,re-加face)＋the troubles of life(生活中的种种烦恼)。troubles 用复数,是摊开的一件件烦心事;re-前缀明写「再一次」,reface 又是临场生造的临时词,读来像「深吸一口气、重摆神色、回头迎战」。译文「重新面对生活的种种烦恼」,忠实又自然。<br>– <b>reface</b>:合成动词,re-(再次)＋face(面对)。face 作动词是「面向、正视」;reface 一般词典不收,是作者临时拼出的活用,正因为生僻反而有劲道:旧麻烦一件不少,只是她重新鼓起劲去正视。常规表达是 face...again,本书的 reface 属于个性化用词。<br><br><b>2. 整句解读</b><br>两个动词一口气打完这帧画面:刚才还贴在窗口出神的 Judy,猛地把自己从窗边拧开、转回屋,重新正视生活的麻烦。wrench 的快与狠、refaced 的「再」字,合起来就是「舍不得,但不得不」——用身体动作演心理挣扎,是书信体小说最拿手的写法;而且 refaced 这种生造词自带口语的随意感,更像 Judy 边写边随口一出的话。<br><br><b>3. 文化点</b><br>在孤儿院与寄宿学校里,窗外是自由想象的去处,窗内是条例与课业;Judy 爱趴在窗边做白日梦(她连自己的姓氏都是随手从电话簿上翻来的)。「从窗边猛然扭开身」正是她对自我要求的俏皮注解:梦做完了,该转回屋面对现实了。	想象一把大扳手绕住你的腰间,咔哒一拧,把赖在窗口恋恋不舍的你整个撬回屋子中央。
waver [sound:w_waver_192b969f.mp3]	'weivә	—	v. 摇曳，摇晃；犹豫	C1	It looked, for all the world, like a huge, <b class="hl">wavering</b> daddy-long-legs. [sound:s_ch01_waver_f25c8c26.mp3]	那影子看上去活像一只晃动着的巨大长腿叔叔。	daddy_long_legs Ch1	<b>1. 逐项解析</b><br><br>• <b>It looked,</b>:主语加系动词开头:It 回指上文那个投在墙上的细长影子;look 作系动词,「看上去、看起来」,后面接 like 短语,表示「视觉上像什么」。系动词的味道就落在「这是印象、不是断言」上。<br><br>• <b>for all the world,</b>:夹在两个逗号之间的固定习语,起到强度副词的作用。for all the world 意为「简直、活脱脱、分毫不差」,专门放在 look like 后面,把「像」从「有点相似」顶到「一模一样」;译文里「活像」正是对它而来,把比喻的相似度焊到百分之百。<br>– <b>for all the world</b>:固定习语,「简直、活脱脱、一丝不差」。几乎总与 look/like 搭配出现:He looks for all the world like his father(他活脱脱就是他爸的翻版)。不能按字面拆解成「为了整个世界」;语义核心是「方方面面都像」。<br><br>• <b>like a huge, wavering daddy-long-legs.</b>:like(介词,像)引导整个宾语:a huge, wavering daddy-long-legs(一只巨大的、晃动着的长腿叔叔)。huge 与 wavering 两个定语之间用逗号并列;wavering 是 waver 的现在分词作定语,「正在摇的」。daddy-long-legs 在此双关:既是一种细长腿昆虫的俗名,又是全书对资助人的昵称。译文「一只晃动着的巨大长腿叔叔」。<br>– <b>waver</b><b class="hl">(目标词)</b>:动词,「摇曳、摇晃;犹豫」。本义指火苗、光线随风摆动(a wavering flame),引申为意志与立场摇摆不定(waver between two choices)。本句取「晃动」义,现在分词 wavering 作定语,把影子的不稳定感写实。<br>– <b>daddy-long-legs</b>:名词,一词两用。字面指大蚊、盲蛛一类腿长得夸张的细腿虫子,英文俗称 daddy longlegs;小说里是 Judy 给匿名资助人取的绰号——她只见过对方投在墙上的细长影子,便借这种长脚虫来称呼他。全句「影子像巨型长脚虫」和「那人正是长腿叔叔」两件事被缝成一句。<br><br><b>2. 整句解读</b><br>全句是一个顶格的比喻:它(那个细长的影子)望上去活像一只巨大的、晃动的长脚虫。for all the world 把「像」推到丝毫不差,huge、wavering 两个定语一前一后描出影子的体量与不稳;daddy-long-legs 恰好一脚踩中两个世界——字面是虫,暗里又是指向资助人的绰号,影子越晃、长腿叔叔越活,俏皮的幽默就藏在这一点双关里。<br><br><b>3. 文化点</b><br>「长腿叔叔」这个名字是有来历的:Judy 唯一一次撞见资助人,只看到他办公室墙上被灯光拉得又高又细的影子,于是随手用细脚昆虫的俗名 daddy longlegs 给他起绰号,并坚持在信中这样称呼这位匿名绅士。书名《长腿叔叔》与全书的昵称,都源自这个窗边/墙上的影子典故。	一团火苗被风吹得左右摇摆——摇曳的火和你拿不定主意时晃来晃去的心,共用同一格画面。
widen [sound:w_widen_d0526345.mp3]	'waidn	verb	v. 变宽，加宽	C1	The lane <b class="hl">widens</b> where the gravel road leaves the campus and runs down towards the village. [sound:s_ch01_widen_c8e97577.mp3]	砾石路离开校园通向村子时，小路渐渐变宽。	daddy_long_legs Ch1(AI 补句)	<b>1. 逐项解析</b><br><br>• <b>The gravel road</b>:主语名词短语:the(定冠词)＋gravel(碎石子,名词作定语)＋road(路),即「砾石路」。gravel 作定语保持原形,不加所有格也不加 -y;译文里「砾石路」与后文「小路」交替称呼,是同一个 road 的两种说法。<br>– <b>gravel</b>:名词,「碎石子、砾石」,不可数;gravel road 是「碎石铺的路」,与铺柏油的 asphalt/highway 相对。形容词 gravelly(沙哑的;满是碎石的)同根。20 世纪初美国乡间小路多是这种碎石面。<br><br>• <b>gradually widened</b>:谓语部分:gradually(渐渐地)副词修饰 widen(变宽),把变化的速度调成缓慢、持续的一档。widen 本身是 wide(宽)加动词后缀 -en 构成,「(使)变宽」;此句是不及物用法——主语是路,路自己一点一点变宽,并无外力。译文「渐渐变宽」正好对应 gradually widen 这组搭配。<br>– <b>widen</b><b class="hl">(目标词)</b>:动词,「变宽、加宽」。构词模板是「形容词＋-en＝使/变得…」:wide→widen、broad→broaden、deep→deepen、long→lengthen、short→shorten,这是英语把性质变成动作的标准后缀。可及物(They widened the road 加宽路)亦可不及物(本句 The road widened 路变宽);同根名词 width(宽度)也常见。<br><br>• <b>as it left the campus and led to the village.</b>:时间状语从句加并列谓语:as(当…时)＋it(回指这条路)＋left the campus(离开校园);and 再连一个并列谓语 led to the village(通向村子)。一层交代「何时变宽」(离开校园那一段),一层交代路的去向(通向村子),合起来就是中文的「离开校园通向村子时」。<br><br><b>2. 整句解读</b><br>这是一个向外走的镜头:砾石路离开校园、一路通向村子,越走越开阔。gradually 把「变宽」放慢,widen 的 -en 后缀本身也带「渐渐变成」的动作感,二者叠加,画面是一帧一帧展开而不是骤变;as 从句再把「离开校园」与「路渐宽」绑在同一时刻。放在成长小说里,这「出校门、路变宽」几乎是心灵打开的同义词。(注:本卡未附英文例句,出于讲解需要,此处英文为按中文译文复原的大意。)<br><br><b>3. 文化点</b><br>20 世纪初美国东北部的大学城与乡村小镇多以碎石路相连,寄宿学生课余散步、周日上教堂都走这样的路。小说里 Judy 进大学后的自由生活场景常伴随这类户外铺叙;「校园在窄处、村庄在宽处」的构图,隐含从规矩世界走向广阔世界的意味。	两扇门自动向两边缓缓滑开,门框外的街景越敞越宽——wide 身后悄悄长出一条小尾巴 -en,一伸懒腰就变宽。
