单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源
cultivate	'kʌltiveit	verb	v. 培养，养成；耕作（cultivate manners 修养举止）	C1	You don't care to make people like you, to go into good society, and cultivate your manners and tastes.	“你不在乎讨人喜欢、跻身上流社会、修炼你的举止与品味。”	little_women Ch26
mortal	'mɒ:tәl	—	n. 凡人（a mere mortal）　a. 必有一死的	C1	No mortal could have been more proud of the little house than Meg.	再没有哪个凡人能比梅格更以这栋小屋为傲了。	little_women Ch26
enthusiasm	in'θju:ziæzәm	noun	n. 热情，热衷（with enthusiasm 满怀热忱）	B2	Amy was learning this distinction through much tribulation, for mistaking enthusiasm for inspiration, she attempted every branch of art with youthful audacity.	艾米是在饱经磨难后才懂得这个区别的，因为她把热情误当成了灵感，结果……	little_women Ch26
profitable	'prɒfitәbl	adjective	a. 有益的，有利可图的	C1	The quiet evenings proved profitable as well as pleasant.	那些安静的夜晚既有益又愉快。	little_women Ch26
confer	kәn'fә:	verb	v. 商议（confer with）；授予（confer on）	C1	Mrs. March conferred with Hannah over the best way to manage.	马奇太太与汉娜商议管理家务的最好办法。	little_women Ch26
desirable	di'zairәbl	adjective	a. 值得要的，可取的（highly desirable 非常可取）	C1	It is highly desirable that the girls learn to be useful.	姑娘们学会做些有用的事，是非常可取的。	little_women Ch26
youthful	'ju:θful	—	a. 年轻的，青春的	C1	Amy was learning this distinction through much tribulation, for mistaking enthusiasm for inspiration, she attempted every branch of art with youthful audacity.	艾米是在饱经磨难后才懂得这个区别的，因为她把年轻人的热情误当成了灵感……	little_women Ch26
rig	rig	—	v. 临时搭起（rig up）；装备　n. 装备	C1	He rigged up a little tent in the garden for the children.	他在园子里给孩子们搭了个小帐篷。	little_women Ch26
rapidity	rә'piditi	—	n. 迅速，快速（with rapidity 飞快地）	C1	She sewed with astonishing rapidity, her needle flashing.	她缝得飞快，叫人吃惊，针脚闪闪发光。	little_women Ch26
pronunciation	prәu.nʌnsi'eiʃәn	—	n. 发音	C1	Her pronunciation of the French words was almost perfect.	她读法语单词的发音几乎完美。	little_women Ch26
machinery	mә'ʃi:nәri	noun	n. 机械装置；机构，运转体系	C1	The machinery of the little household ran smoothly, thanks to Hannah.	多亏了汉娜，这个小小家庭的运转井井有条。	little_women Ch26
martyr	'mɑ:tә	—	n. 殉道者；受害受难者（with the magnanimity of a martyr）	C1	"Shall I rush into town and demand one?" asked Jo, with the magnanimity of a martyr.	“我要冲进城去要一个吗？”乔问道，带着殉道者般宽宏的气度。	little_women Ch26
vulgar	'vʌlgә	—	a. 粗俗的，庸俗的；（口语）寻常的	C1	In stumbling to the door, she upset the basket, and—oh horror!—the lobster, in all its vulgar size and brilliancy, was revealed to the highborn eyes of a Tudor!	她跌跌撞撞扑向门口时撞翻了篮子——天哪！那只龙虾，就这样以其粗俗的大个头和油亮的光泽……	little_women Ch26
divert	dai'vә:t	verb	v. 使转向；使解闷，使开心（divert sb 逗趣）	C1	The lobster was instantly surrounded by a halo of pleasing reminiscences, and curiosity about 'the charming young ladies' diverted his mind from the comical mishap.	龙虾立刻被一团美好的回忆环绕，大家又对“那位迷人的年轻人”生出了好奇……	little_women Ch26
likeness	'laiknis	—	n. 相似，肖像（likenesses 画像）	C1	Softened into crayon sketches, they did better, for the likenesses were good, and Amy's hair, Jo's nose, Meg's mouth, and Laurie's eyes were pronounced 'wonderfully fine'.	改成粉蜡笔素描后就好些了，因为画得都挺像：艾米的头发、乔的鼻子、梅格的嘴……	little_women Ch26
abrupt	ә'brʌpt	—	a. 突然的，唐突的（bring to an abrupt close 戛然而止）	C1	Her efforts in this line, however, were brought to an abrupt close by an untoward accident, which quenched her ardor.	不过她在这方面的努力，却被一场不巧的意外戛然打断，那意外浇灭了她……	little_women Ch26
vibrate	'vaibreit	—	v. 振动，颤动；（内心）摇摆不定	C1	Then came the hours of suspense, during which she vibrated from parlor to porch, while public opinion varied like the weathercock.	接着是焦灼等待的几个小时，她一会儿在前厅，一会儿在门廊，走来走去，而众人对她的评价也像……	little_women Ch26
