word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,chapter,date,cn_mean,cn_sent
trustee,c1,noun,3.8,10,30,.trʌs'ti:,"n. 受托人, 理事",6118/3473),6118,3473,"[2, 10, 13, 33, 34, 42, 47, 48, 51, 94]","[32, 21, 1, 16, 15, 15, 20, 37, 10, 9]",Had—O horrors!—one of the cherubic little babes in her own room F 'sauced' a Trustee?,77,1,2026-08-31,n.（慈善机构的）理事，董事,“天哪，太可怕了！难道是她自己F房间里那个天使般的小家伙‘顶撞’了一位理事？”
asylum,c1,noun,3.4,6,24,ә'sailәm,"n. 庇护, 收容所",雅宝,7774,5764,"[5, 11, 14, 47, 58, 59]","[13, 21, 22, 30, 9, 33]","Now you are finishing that, and of course the asylum cannot be responsible any longer for your support.",46,1,2026-08-31,n. 孤儿院；收容所,如今你已经毕业，孤儿院当然就不再负担你的生活费了。
allowance,c1,noun,2.84,2,12,ә'lauәns,"n. 津贴, 零用钱, 限额, 折扣, 允许 / vt. 定量供应",高研六雅宝,7677,2481,"[76, 79]","[7, 25]","He is giving you a very liberal allowance, almost, for a girl who has never had any experience in taking care of money, too liberal.",32,1,2026-08-31,n. 津贴，零用钱,他给你的零用钱非常宽裕——对一个从没管过钱的姑娘来说，几乎太多了。
correspond,c1,verb,2.5733,2,2,.kɒri'spɒnd,"vi. 符合, 通信, 相当",高研四六托雅,5415,3234,"[88, 91]","[8, 31]","Since you have no family with whom to correspond, he desires you to write in this way; also, he wishes to keep track of your progress.",38,1,2026-08-31,v. 通信；（与）相符,既然你没有可以通信的家人，他希望你按这种方式写信；他也想随时了解你的进步。
pantry,c1,,2.54,1,3,'pæntri,"n. 餐具室, 食品室",六宝,10360,15830,[5],[4],"Jerusha escaped from the pantry where she had been making sandwiches for the asylum's guests, and turned upstairs to accomplish her regular work.",25,1,2026-08-31,n. 食品储藏室，配餐室,朱鲁莎从配餐室逃了出来——她一直在给孤儿院的客人们做三明治——上楼去干她平时的活儿。
tuition,c1,noun,2.5133,1,2,tju:'iʃәn,"n. 学费, 讲授",研四六托雅,5817,8818,[79],[3],"Your board and tuition will be paid directly to the college, and you will receive in addition during the four years you are there, an allowance of thirty-five dollars a month.",15,1,2026-08-31,n. 学费,你的膳宿费和学费将直接付给学校；此外在大学四年里，你每月还会领到三十五美元的津贴。
predecessor,c1,noun,2.4867,1,1,.predi'sesә,"n. 前任, 先辈, 前身",研六托雅宝,5256,4183,[4],[7],"But this particular first Wednesday, like its predecessors, finally dragged itself to a close.",46,1,2026-08-31,n. 前任；前身,不过这特定的第一个星期三，同以往的每一个一样，总算慢慢挨过去了。
wrench,c1,,2.4867,1,1,'rentʃ,"n. 扳钳, 扳手, 扭伤, 歪曲, 痛苦 / vt. 猛扭, 扭伤, 曲解, 折磨 / vi. 猛扭, 猛绞",研六雅宝,10376,10564,[22],[1],Jerusha wrenched herself from the window and refaced the troubles of life.,8,1,2026-08-31,v. 猛扭，挣脱 n. 扳手；（离别的）痛苦,朱鲁莎使劲从窗边扭回身，重新面对生活的种种烦恼。
waver,c1,,2.4867,1,1,'weivә,"n. 动摇, 踌躇, 挥动者 / vi. 摇摆, 颤抖, 摆动, 摇曳, 犹豫",六托雅宝,9407,11436,[39],[9],"It looked, for all the world, like a huge, wavering daddy-long-legs.",43,1,2026-08-31,v. 摇曳，摇晃；犹豫,那影子看上去活像一只晃动着的巨大长腿叔叔。
widen,c1,verb,2.4867,1,1,'waidn,"vt. 弄宽, 加宽, 扩大 / vi. 变宽, 扩大",四六,5456,4524,[48],[20],,-1,1,2026-08-31,v. 变宽，加宽,砾石路离开校园通向村子时，小路渐渐变宽。
expend,c1,,2.4867,1,1,ik'spend,"vt. 花费, 消耗, 用光",研四雅宝,10629,11218,[51],[26],"They were both sent through college by Mr.—er—this Trustee, and both have repaid with hard work and success the money that was so generously expended.",141,1,2026-08-31,v. 花费，支出,他们两位都是被这位——呃——理事先生送进大学的，如今都勤奋工作、事业有成，报答了那份慷慨付出的钱。
philanthropy,c1,,2.4867,1,1,fi'lænθrәpi,"n. 慈善, 仁慈, 博爱, 慈善事业, 慈善机构(团体)",六,13533,22538,[53],[2],,-1,1,2026-08-31,n. 慈善（事业）；博爱,他的一生就是一堂无声的慈善课——不留一点张扬。
numb,c1,,2.4867,1,1,nʌm,"a. 麻木的, 失去知觉的 / vt. 使麻木, 使昏迷, 使失去知觉",高研托雅宝,9317,12639,[72],[22],"He believes that you have originality, and he is planning to educate you to become a writer.'  'A writer?' Jerusha's mind was numbed.",126,1,2026-08-31,adj. 麻木的 v. 使麻木,“他相信你有独创性，打算把你培养成作家。”“作家？”朱鲁莎的脑子都麻木了。
imperative,c1,,2.4867,1,1,im'perәtiv,"n. 命令, 必要的事, 规则, 祈使语气 / a. 命令式的, 急需的, 势在必行的, 强制的",研六托雅宝,8360,8822,[91],[13],"If any point should ever arise where an answer would seem to be imperative—such as in the event of your being expelled, which I trust will not occur—you may correspond with Mr. Griggs, his secretary.",64,1,2026-08-31,adj. 必要的，紧急的；命令的,如果有任何问题非回答不可——比如你要被开除时（我相信不会发生）——你可以写信给他的秘书格里格斯先生。
automobile,b2,,2.4633,3,5,'ɒ:tәmәbi:l,n. 汽车,四六雅,4005,11452,"[14, 36, 46]","[16, 7, 1]",An automobile flashed past the window; Mrs. Lippett glanced after it.,3,1,2026-08-31,n. 汽车,一辆汽车从窗外一闪而过；李皮太太的目光追着它看。
