word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,cn_mean,cn_sent,ai
scorn,c1,,2.5667,1,4,skɒ:n,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人 / vt. 轻蔑, 不屑做",研四六雅宝,11935,11677,[118],[13],She scorned to take the easy way out.,-1,n. 轻蔑（with scorn）　v. 不屑（scorn to do）,她不屑于走轻松的路子。,1
stray,c1,,2.54,1,3,strei,"n. 走失的家畜, 浪子 / a. 迷途的, 偶然的 / vi. 迷路, 彷徨, 流浪",六托宝,9258,9489,[193],[17],"Then he seemed quite inspired, though the burial customs of the ancients, to which the conversation had strayed, might not be considered an exhilarating topic.",104,v. 走神，偏离（stray to 扯到）；走失　a. 迷路的,随后他似乎兴致来了，尽管谈话已经跑偏到古人的殡葬习俗上……,
grasshopper,c1,,2.54,1,3,'græshɒpә,"n. 蚱蜢, 蝗虫",六托,15296,22546,[219],[21],"We go excellently well together."" A pleasing fiction, by the way, for Jo had no more idea of music than a grasshopper.",106,n. 蚱蜢，蝗虫（no more idea of music than a grasshopper 对音乐一窍不通）,“我们俩配合得再好不过了。”顺带说一句，这是句讨人喜欢的大话，因为乔对音乐一窍不通，不比一只蚱蜢强……,
regardless,b2,adverb,2.5167,3,7,ri'gɑ:dlis,"a. 不管, 不注意, 不顾",高研四六托雅,2899,4283,"[19, 202, 220]","[42, 9, 18]","But she would have consented if he had proposed to sing a whole opera, and warbled away, blissfully regardless of time and tune.",100,,,
surrender,c1,verb,2.5133,1,2,sә'rendә,"vt. 交出, 放弃, 使投降, 让与 / vi. 投降, 自首 / n. 交出, 放弃, 投降",研四六托雅宝,5024,5031,[140],[6],"A flank movement produced an unconditional surrender, however, for Laurie knew where to have him.",43,n. 投降（unconditional surrender 无条件投降）　v. 交出；屈服,不过一次侧翼迂回还是让他乖乖缴了械，因为劳里知道怎么制住他。,
hoarse,c1,,2.5133,1,2,hɒ:s,"a. 沙哑的, 嘶哑的",六托宝,14101,15979,[146],[20],"It was fortunate that tea was at hand, to produce a lull and provide refreshment—for they would have been hoarse and faint if they had gone on much longer.",106,a. （嗓子）沙哑的,幸好茶点就在手边，正好让大家歇歇嗓子、补充体力——不然他们早就吵哑了……,
lapse,c1,,2.5133,1,2,læps,"n. 过失, 流逝, 失效 / vi. 犯错, 堕落, 减退, 消失, 流逝 / vt. 使失效",研雅宝,9939,9458,[202],[12],"After a lapse of weeks, she wrote to him again.",-1,n. 间隔（after a lapse of）；失误（a lapse of memory）　v. 陷入,过了几个星期之后，她又给他写了信。,1
courteous,c1,,2.4867,1,1,'kә:tjәs,"a. 彬彬有礼, 谦恭的",六托,14858,11608,[19],[5],The courteous stranger bowed and asked the way.,-1,a. 彬彬有礼的，谦恭的,那位彬彬有礼的陌生人鞠了一躬，问起路来。,1
consul,c1,,2.4867,1,1,'kɒnsәl,"n. 领事, 执政官",六宝,19215,12699,[69],[6],He went to the American consul for advice.,-1,n. 领事,他去美国领事那儿讨主意。,1
brightness,c1,,2.4867,1,1,'braitnis,"n. 光亮, 明亮, 聪明",六,7963,10144,[134],[8],The brightness of the morning made the dark room seem dreary.,-1,n. 明亮，光亮；朝气,清晨的明亮让这间暗屋子显得更加冷清。,1
pierce,c1,,2.4867,1,1,piәs,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动 / vi. 刺入, 穿入, 透入, 进入",研四六托雅宝,6839,8742,[152],[16],A sudden cry pierced the stillness of the night.,-1,v. 刺穿；划破（寂静）；洞悉,一声突如其来的叫喊划破了夜的寂静。,1
enrich,c1,verb,2.4867,1,1,in'ritʃ,"vt. 使富足, 使肥沃",研六托雅,6879,8880,[180],[2],"For poverty enriches those who live above it, and is a sure passport to truly hospitable spirits.",12,v. 使富有；充实，丰富（enrich one's life）,因为贫穷会让超越它的人更加富有，也必定是通往真正热情好客心灵的通行证。,
burial,c1,noun,2.4867,1,1,'beriәl,"n. 埋葬, 葬礼",高六托雅宝,6234,5406,[193],[7],"Then he seemed quite inspired, though the burial customs of the ancients, to which the conversation had strayed, might not be considered an exhilarating topic.",42,n. 埋葬，葬礼（burial customs 殡葬风俗）,随后他似乎兴致来了，尽管谈话已经跑偏到古人的殡葬习俗上……,
beard,b2,,2.4567,2,7,biәd,"n. 胡须 / vt. 抓住胡须, 公开反对",高研四托雅,4690,5605,"[164, 182]","[21, 26]","She opened with hospitable haste, and started as if another ghost had come to surprise her, for there stood a tall bearded gentleman, beaming on her from the darkness like a midnight sun.",115,,,
impress,b2,verb,2.45,1,9,im'pres,"n. 印象, 特征, 印记 / vt. 使有印象, 印, 铭刻, 传送, 影响, 强征 / vi. 给人印象",高研四六,3055,4079,[202],[21],Her quiet dignity impressed them more than words could.,-1,v. 给…留下深刻印象（impress upon）；铭记,她沉静的尊严比任何言语都更打动他们。,1
bloom,b2,,2.44,2,12,blu:m,"n. 花, 开花, 青春, 钢块 / vi. 开花, 焕发青春, 茂盛 / vt. 使茂盛, 把...轧成钢坯",研四六托雅,6582,7980,"[17, 222]","[11, 7]","And looking at them with compassion, not contempt, girls in their bloom should remember that they too may miss the blossom time.",66,n. 花；青春焕发（in bloom 盛开）　vi. 开花；容光焕发,正处在花样年华的姑娘们应当记住，以同情而非轻蔑去看待她们：她们也可能会错过……,
quarrel,b2,,2.44,2,12,'kwɒrәl,"n. 吵架, 反目, 怨言, 方头凿 / vi. 吵架, 争论, 挑剔",高研四六,11177,7746,"[119, 121]","[15, 5]",Amy and you never did quarrel as we used to.,22,,,
kindness,b2,,2.4333,1,14,'kaindnis,"n. 仁慈, 亲切, 和蔼",高研四六,7682,7000,[18],[19],"That rosy cheeks don't last forever, that silver threads will come in the bonnie brown hair, and that, by-and-by, kindness and respect will be as sweet as love and admiration now.",114,,,
