word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,cn_mean,cn_sent,ai,ai_analysis,memo
scorn,c1,,2.5667,1,4,skɒ:n,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人 / vt. 轻蔑, 不屑做",研四六雅宝,11935,11677,[118],[13],She scorned to take the easy way out.,-1,n. 轻蔑（with scorn）　v. 不屑（scorn to do）,她不屑于走轻松的路子。,1,"1. 逐项解析:
She 是主语,人称代词,指前文那位心高气傲的女性(小说里多半是乔或她的姐妹)。scorned 是本句谓语,动词过去式;这里 scorn 作及物动词,后接不定式 to take,意思是""不屑于做某事"",与名词义""轻蔑(带着一脸轻蔑)""同源,但词性不同。to take the easy way out 是不定式短语,作 scorn 的宾语;the easy way out 是个固定搭配,指""最容易、最省事的那条出路"",take the easy way out 即""挑捷径、逃避麻烦""。全句没有问号也没有感叹号,却靠 scorn 这一个词把人物的傲气顶得满满的。
2. 整句解读:整句话的意思是:她太有骨气,不肯挑轻松省事的路走。英语语序是""主语+动词+不定式"",中文翻成""她不屑于走轻松的路子"",把""不屑""这个态度动词提前,语气反而更冲。读者能从这短短一句里读出人物的自尊与倔强:不是不能取巧,而是打心底瞧不上取巧。语感上是第三人称的简洁评述,干净利落,像一句判词。
3. 文化点:本句出自 19 世纪小说,是重视品格的成长故事。那个时代的小说爱用""不屑做某事""来写女主角的骨气与操守——取巧、抄近道在当时的道德观下是品格污点,所以 scorn 在此不仅是情绪,更是一种道德姿态。","想象一只高贵的白猫对地上的剩饭连瞥都不瞥,一甩头走开——scorn,就是那记""不值得我碰""的眼神。"
stray,c1,,2.54,1,3,strei,"n. 走失的家畜, 浪子 / a. 迷途的, 偶然的 / vi. 迷路, 彷徨, 流浪",六托宝,9258,9489,[193],[17],"Then he seemed quite inspired, though the burial customs of the ancients, to which the conversation had strayed, might not be considered an exhilarating topic.",104,v. 走神，偏离（stray to 扯到）；走失　a. 迷路的,随后他似乎兴致来了，尽管谈话已经跑偏到古人的殡葬习俗上……,,"1. 逐项解析:Then 是时间副词,""随后,那时候""。he seemed quite inspired 是主句:seem 作系动词,quite 表""相当"",inspired 是过去分词作表语,指""忽然兴致勃勃、来了灵感""。though 引出让步状语从句,""尽管""。从句主干是 the burial customs of the ancients might not be considered an exhilarating topic:burial customs 意为""殡葬习俗"",of the ancients 是介词短语作后置定语,指""古人的"";might not be considered 是被动语态,""未必会被认为是"";exhilarating 意为""令人振奋的"",exhilarating topic 就是""能提神的话题""。中间插入了一段非限定性定语从句 to which the conversation had strayed:to which 中的 to 来自固定搭配 stray to(偏到、扯到),介词提前放在关系词前;the conversation had strayed 用过去完成时,表示""谈话已经偏离了轨道""。stray 本义是""走失、迷路"",这里引申为话题""走散、跑偏""。
2. 整句解读:全句是一个""先扬后抑""的俏皮结构:主句说""他随后兴致勃发"",让步从句立刻泼一盆冷水——可惜两人聊到的是古人的殡葬习俗,这种话题实在谈不上提神;插入语则交代了这个沮丧话题的来历:是谈话自己""走散""到那儿去的。时间顺序本来是""先跑偏,再兴致勃勃"",作者刻意倒过来写,先抛亮面、再拆台,读来像朋友间的打趣。中文把英语的定语从句拆出来,译成""尽管谈话已经跑偏到古人的殡葬习俗上"",语序变自然,后面的省略号配合原文没说完的俏皮口吻。
3. 文化点:19 世纪家庭小说里,年轻人的闲聊话题常漫无边际。殡葬习俗之类的话题即便在当时也被视为不适合轻松社交场合的闷料,作者偏用""令人振奋""这种褒义词反着搭配,形成英式的反讽幽默,也照见人物心不在焉却自得其乐的氛围。","想象一条小狗偷偷离开主人脚边的路,一头钻进草丛追蝴蝶去了——话题 stray 到殡葬习俗,就像这只跑偏的小狗。"
grasshopper,c1,,2.54,1,3,'græshɒpә,"n. 蚱蜢, 蝗虫",六托,15296,22546,[219],[21],"We go excellently well together."" A pleasing fiction, by the way, for Jo had no more idea of music than a grasshopper.",106,n. 蚱蜢，蝗虫（no more idea of music than a grasshopper 对音乐一窍不通）,“我们俩配合得再好不过了。”顺带说一句，这是句讨人喜欢的大话，因为乔对音乐一窍不通，不比一只蚱蜢强……,,"1. 逐项解析:引号内是人物的一句台词:We go excellently well together,go 在此不是""走"",而是口语里""(两人)配合、合得来""的意思;excellently 是超纲词,意为""极好地"",和 well 叠在一起,把""配合得不能再好""渲染到夸张程度。A pleasing fiction 是个独立名词短语,承接上一句直接下评语:pleasing""讨人喜欢的"",fiction""虚构、编出来的话""——即一句漂亮的大话。by the way 是插入语,""顺带说一句"",作者跳出来向读者爆料。for 是连词,表原因,""因为""。Jo had no more idea of music than a grasshopper 引出真正的原因:idea of music 指""对音乐的认知、乐感"";no more...than 结构表示""不比……更,其实和……一样(少)"",即""乔对音乐的了解,和一只蚱蜢差不多""。grasshopper 就是""蚱蜢、蝗虫""。
2. 整句解读:整段是""台词加旁白""的组合:人物先大言不惭地说""咱俩配合得不能再好了"",作者的旁白立刻拆台——""这是句讨人喜欢的大话"",接着用 no more...than 的比喻给出证据:乔的音乐细胞,约等于一只草虫。拿昆虫来比人的弱项,是一种自嘲式、带亲昵感的挖苦,把""一窍不通""说得既夸张又好笑。中文用""不比一只蚱蜢强""保留了这个画面,没有直接写成""一窍不通"",正是为了留住那股俏皮劲儿。
3. 文化点:英文里拿蚱蜢做比喻,常取其""天性上隔着十万八千里""的意味;伊索寓言中蚱蜢只顾鸣叫嬉戏,与音乐、闲逸也沾边。《小妇人》写乔这位冒冒失失的假小子时常这样打趣,蚱蜢一入句,画面和笑声就都来了。","想象草丛里一只蚱蜢,听见旁边有人哼歌,歪着触角一脸茫然——乔的音乐细胞,就长成这副表情。"
regardless,b2,adverb,2.5167,3,7,ri'gɑ:dlis,"a. 不管, 不注意, 不顾",高研四六托雅,2899,4283,"[19, 202, 220]","[42, 9, 18]","But she would have consented if he had proposed to sing a whole opera, and warbled away, blissfully regardless of time and tune.",100,"adv. 不顾,不管(regardless of: 全然不顾)","但就算他提议唱整部歌剧她也会答应的,便婉转地唱起来,全然不顾节奏与音准,乐在其中。",,"1. 逐项解析:句首的 But 承接上文,表转折。she would have consented if he had proposed to sing a whole opera 是一个与过去事实相反的虚拟语气:would have consented 表示""她(当时)是会答应的"",consent 意为""同意、应允"",consent to do 是固定搭配;if he had proposed... 是条件从句,propose to do 意为""提议做某事"";a whole opera 指""整部歌剧"",opera 是超纲词,意为""歌剧""。and warbled away 与主句并列,warbled 本是拟鸟鸣的动词""啭鸣、婉转地唱"",用来写人声带着俏皮味,away 跟在动词后表示""不停歇地……""。句尾的状语 blissfully regardless of time and tune 是全句的点睛之笔:blissfully""幸福地、乐陶陶地"";regardless of 是固定搭配,""全然不顾"";time 在乐理语境中指""拍子、节奏"",tune 指""曲调、调子""。意思是唱得忘我,连节拍和音准都不要了。
2. 整句解读:整句话用虚拟语气搭了一个夸张的假设:哪怕对方真提议""来,唱整部歌剧吧"",她也会满口答应,然后真的哇哇唱个没完,幸福到把节奏和音准全抛到九霄云外。三个段位层层加码——应允、开唱、忘形——把""开心到头脑发热""写得活灵活现。中文先把条件句译成""但就算他提议唱整部歌剧她也会答应的"",再用""全然不顾节奏与音准,乐在其中""收尾,顺序与英文一致,读来顺畅。
3. 文化点:19 世纪的家庭沙龙里,弹琴唱歌是青年聚会的固定节目,歌剧则被奉为高雅艺术,所以""提议唱整部歌剧""自带夸张的玩笑色彩。warbled 用鸟鸣词来写人声,是英国小说常用来""破高雅""的俏皮手法,暗示唱得虽不专业,兴致却满格。","想象一个人抱着吉他闭眼唱到忘我,邻居敲墙都听不见——regardless,就是那副连拍子、调子都不要了的陶醉劲儿。"
surrender,c1,verb,2.5133,1,2,sә'rendә,"vt. 交出, 放弃, 使投降, 让与 / vi. 投降, 自首 / n. 交出, 放弃, 投降",研四六托雅宝,5024,5031,[140],[6],"A flank movement produced an unconditional surrender, however, for Laurie knew where to have him.",43,n. 投降（unconditional surrender 无条件投降）　v. 交出；屈服,不过一次侧翼迂回还是让他乖乖缴了械，因为劳里知道怎么制住他。,,"1. 逐项解析:A flank movement 是主语:flank 在此作定语,意为""侧翼"",movement 意为""调动、机动"",flank movement 是军事术语,指""侧翼迂回、包抄""。produced 是谓语,意为""产生、促成了""。an unconditional surrender 是宾语:unconditional""无条件的"",surrender""投降"",这是固定军事词组,标准译法是""无条件投降""。however 作插入语,表转折,""不过、然而""。for 是连词,表原因,""因为""(书面语常用)。Laurie knew where to have him 是原因从句:Laurie 是《小妇人》中的人物名(劳里);know where to have someone 是口语习语,意思是""心里有底,知道怎么拿捏、制住对方"",字面是""知道在哪儿拿住他""。全句把一场较量(结合上下文是斗嘴或下棋式的热闹交锋)写成了一场军事战役。注意本句里 surrender 用的是名词义""投降"",词条里同时列有动词义""交出、屈服""。
2. 整句解读:作者故意用军事大词描绘一件小打小闹的事:一次""侧翼迂回"",就打出了一场""无条件投降""。however 插在句中,让前后的反差更明显——战果听着辉煌,原因却很简单:劳里出手有谱,怎么也能拿住对方。中文译成""一次侧翼迂回还是让他乖乖缴了械"",把军事比喻收进""乖乖缴械""的轻松画面,贴住了原文开玩笑的口气;后句""因为劳里知道怎么制住他""顺势解释,语气自然。
3. 文化点:《小妇人》中劳里与乔这对玩伴常斗嘴嬉闹,作者惯用战争、军事词汇来形容孩子的玩闹,把小场面说得煞有介事,透出长辈般的逗趣与偏爱。surrender 这种大词配小事,正是 19 世纪家庭小说擅长的幽默落差。","想象棋盘上最后一步被将死,小男孩笑嘻嘻举起双手喊""投降""——surrender,就是那只乖乖放下武器的手。"
hoarse,c1,,2.5133,1,2,hɒ:s,"a. 沙哑的, 嘶哑的",六托宝,14101,15979,[146],[20],"It was fortunate that tea was at hand, to produce a lull and provide refreshment—for they would have been hoarse and faint if they had gone on much longer.",106,a. （嗓子）沙哑的,幸好茶点就在手边，正好让大家歇歇嗓子、补充体力——不然他们早就吵哑了……,,"1. 逐项解析:句首 It was fortunate that... 是形式主语结构:it 只是个占位主语,真正的主语是后面 that 引出的从句,译为""幸好……""。tea was at hand 是 that 从句的主干:tea""茶、茶点"",at hand 是固定搭配,""就在手边、唾手可得""。to produce a lull and provide refreshment 是不定式短语,说明茶点的作用:produce""带来、产生"",lull 是超纲词,意为""短暂的平息、间歇"";provide""提供"",refreshment""提神之物、茶点(常用复数)""。破折号之后是 for they would have been hoarse and faint if they had gone on much longer:for 在此表原因,""因为"";would have been... if they had gone on 是虚拟语气,回溯当时""如果继续下去,则会如何"";hoarse 意为""(嗓子)沙哑的"",faint 意为""(因疲倦而)虚弱的"";go on""继续下去""。
2. 整句解读:全句用破折号隔出两层意思:先说幸好茶点近在眼前,能让大伙儿歇一歇、补一补;破折号后立刻用虚拟语气追一句——要是再不停下来,他们早就要吵哑嗓子、吵到虚脱了。fortunate 与 would have been 一正一反,把茶点的出现衬托得像及时雨。中文把不定式的两层换成""正好让大家歇歇嗓子、补充体力"",落到人物身上,读来亲切;""不然他们早就吵哑了""用口语把虚拟语气顺下来,轻快收尾。
3. 文化点:在英国及新英格兰的家庭社交里,茶点(tea)常是争论、兴奋之后的""休战信号"",端茶上桌往往意味着给话题降温、给嗓子歇口气。《小妇人》这类家庭小说常用""茶点到场""来调节叙事节奏,把喧闹场面适时收住,茶点既是实物,也是社交的润滑剂。","想象演唱会吼了一整夜,第二天开口声音像破风扇——hoarse,就是嗓子哑到只剩""哼不出声""的那股破音。"
lapse,c1,,2.5133,1,2,læps,"n. 过失, 流逝, 失效 / vi. 犯错, 堕落, 减退, 消失, 流逝 / vt. 使失效",研雅宝,9939,9458,[202],[12],"After a lapse of weeks, she wrote to him again.",-1,n. 间隔（after a lapse of）；失误（a lapse of memory）　v. 陷入,过了几个星期之后，她又给他写了信。,1,"1. 逐项解析:
● After:介词,表示「在……之后」,引导一个时间状语成分。
● a lapse of weeks:lapse 此处为名词,本义是「短暂的中断、一段时间的间隔/流逝」。a lapse of weeks 即「几个星期的间隔」。注意 lapse 常与 of 连用,如 a lapse of time(时间的流逝)、a lapse of memory(一时失忆/记错)。在这个搭配里,它强调的不是单纯的一段时间,而是「这中间存在着空缺、停滞」的那段跨度。
● she:代词,作主语,指写信的「她」。
● wrote to him again:write to sb. 是固定搭配,意为「给某人写信」,这里用的是过去式 wrote;again 是副词,「又、再一次」。
2. 整句解读:全句结构是「After a lapse of weeks(时间状语)+ she wrote to him again(主句)」,直译是「在数周的间隔之后,她又写信给他了」。lapse 带着「中断、空白」的分量,比简单地用 some weeks 更有「这段时间两人一直没联系」的潜台词,语气平静而略带距离。中文译文把 a lapse of weeks 顺译为「过了几个星期」,把「间隔、耽搁」的意思收进时间状语里,自然流畅。「又」字对应 again,点出这是一次重新联系的举动。
3. 文化点:19 世纪小说背景里书信是远距离交流的主要方式,「隔了数周才去信」常常暗示犹豫、疏远或情感上的迟疑。lapse 用于人际交往时自带「空档感」——那段时间是空白,不是忙碌。","想象一本厚日历,中间被抽走了一摞「星期」,空白一个月后,她终于重新提起了笔写信。"
courteous,c1,,2.4867,1,1,'kә:tjәs,"a. 彬彬有礼, 谦恭的",六托,14858,11608,[19],[5],The courteous stranger bowed and asked the way.,-1,a. 彬彬有礼的，谦恭的,那位彬彬有礼的陌生人鞠了一躬，问起路来。,1,"1. 逐项解析:
● courteous:形容词,意为「彬彬有礼的、谦恭的」,侧重举止举止得体、有教养。它的同根词有 courtesy(礼貌、殷勤)和副词 courteously(有礼貌地);词源与宫廷 court 相关,因而带一点「贵族式的周全礼数」的味道。
● stranger:名词,「陌生人」。前面的定冠词 the 表明是「那位(特定的)陌生人」,在叙述中是已出场过或特指的人。
● bowed:bend 的过去式 bow 意为「鞠躬;弯腰」,这里作并列谓语之一,「鞠了一躬」。
● asked the way:ask 此处是「询问」,the way 指「路、应走的方向」,asked the way 合起来就是「问路」。
2. 整句解读:句子主干为「The courteous stranger(主语)+ bowed and asked the way(并列谓语)」,直译「那位彬彬有礼的陌生人鞠了一躬,然后问路」。bowed and asked 两个过去式并列,动作有先后:先鞠躬致意、再开口问路,把 courteous 落到实处——礼貌不是嘴上说的,而是身体姿态都带着谦恭。译文「鞠了一躬,问起路来」用「起」字把询问的动作感点出来,语气从容老派。
3. 文化点:在 19 世纪的西方,向陌生路人问路前先脱帽或鞠躬致意,是典型的绅士礼仪,文学中常用这个细节来快速刻画一个人的教养与阶层,让「有礼貌」这种抽象品质瞬间具象。","想象一位戴着礼帽的绅士,在马路边先欠身一鞠躬,再开口打听怎么走——礼貌先于话语。"
consul,c1,,2.4867,1,1,'kɒnsәl,"n. 领事, 执政官",六宝,19215,12699,[69],[6],He went to the American consul for advice.,-1,n. 领事,他去美国领事那儿讨主意。,1,"1. 逐项解析:
● went:go 的过去式,「去」。went to ... for ... 是「为了……而去……」的结构,for 引出目的。
● the American consul:consul 为名词,「领事」,指一国派驻外国的官员,负责保护本国侨民与商业利益。the American 是限定语,意为「美国(派驻的)那位领事」。
● for advice:advice 是不可数名词,「建议、主意」,没有复数形式;习惯搭配是 ask for advice、give advice、go to sb. for advice(去找某人讨主意)。
2. 整句解读:全句是「He went to the American consul for advice」,直译「他去找美国领事,为的是讨个主意」。译文把 for advice 译成口语化的「讨主意」,把目的意味译得亲切接地气;consul 在这里是「能拿出主意、拿主意的权威人物」,整句呈现出「有难事请长辈式权威帮忙」的朴素信赖感。
3. 文化点:近代各国在通商口岸普遍设有领事馆,旅居异国的人遇到签证、纠纷、落魄等事务,第一反应就是去找本国领事。在 19 世纪小说的旅外情节里,领事常充当「官方靠山」兼「长辈」的角色,与其说是官员,不如说是侨民的全权当家人。","想象领事馆门口竖着美国国旗,一个旅人在台阶前徘徊,终于进去找那位能拍板出主意的人。"
brightness,c1,,2.4867,1,1,'braitnis,"n. 光亮, 明亮, 聪明",六,7963,10144,[134],[8],The brightness of the morning made the dark room seem dreary.,-1,n. 明亮，光亮；朝气,清晨的明亮让这间暗屋子显得更加冷清。,1,"1. 逐项解析:
● brightness:名词,由 bright(形容词「明亮的」)+ 名词后缀 -ness 构成。「-ness」加在形容词后表示「……的状态或性质」,所以 brightness 即「明亮、光亮」;同类词有 darkness(黑暗)、happiness(幸福)、kindness(善意)。
● of the morning:介词短语作后置定语,修饰 brightness,意为「清晨的这种明亮」。
● made:make 的过去式,此处为使役动词,构成 make sth. seem + adj. 结构,即「使得某物显得……」。
● the dark room:「这间暗屋子」,dark 修饰 room,定冠词 the 指明是那间已知的暗房间。
● seem dreary:seem 为系动词「看起来、显得」;dreary 是句中标注的超纲词,形容词,意为「阴郁的、沉闷的、令人意志消沉的」,常用于天气、环境或人的心境,带着一种灰蒙蒙提不起劲的质感。seem dreary 即「显得阴郁冷清」。
2. 整句解读:整个句子是「The brightness of the morning + made + the dark room + seem dreary」,即「清晨的明亮,让那间暗屋子显得越发沉郁冷清」。点睛处是反差:外面越是明亮,从暗屋子的视角看,自己没有光,就愈显昏暗压抑。brightness 与 dreary 一明一暗、对比强烈,译文用「更」字把这种「因对比而更暗」的效果点破。以明衬暗、以景写情,画面感十足。
3. 文化点:19 世纪文学很爱用光线和天气来投射人物心情。「晨光正盛而屋内黯淡」这样的安排,往往暗示着人物处境的压抑或心境的黯淡——光越是强,属于主角的那一角就越显得阴郁。","想象一束刺眼的晨光从门缝斜射进来,反倒把那间没开灯的黑屋子衬得愈发幽暗。"
