word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,chapter,date
converse,c1,,2.4867,1,1,kәn'vә:s,"n. 相反的事物, 倒, 逆向 / a. 相反的, 逆向的, 颠倒的 / vi. 交谈, 谈话",六托宝,11468,14236,[4],[5],Sallie and Julia and I converse now in the language of 1660.,23,10,2026-08-31
mourn,c1,,2.4867,1,1,mɒ:n,"v. 哀悼, 忧伤, 服丧",高研四六雅宝,6768,9545,[5],[38],,-1,10,2026-08-31
cunning,c1,,2.4867,1,1,'kʌniŋ,"a. 狡猾的, 巧妙的, 可爱的",研四六托雅宝,12813,9717,[6],[7],A friend of Pepys devised a very cunning manner whereby the king might pay his debts out of the sale to poor people of old decayed provisions.,33,10,2026-08-31
whereby,c1,adverb,2.4867,1,1,(h)weә'bai,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此",六雅,8497,3568,[6],[9],A friend of Pepys devised a very cunning manner whereby the king might pay his debts out of the sale to poor people of old decayed provisions.,48,10,2026-08-31
abolish,c1,verb,2.4867,1,1,ә'bɒliʃ,"vt. 废止, 革除, 消灭",高研六托雅宝,7490,3736,[14],[4],The Self-Government Association has abolished the ten o'clock rule.,36,10,2026-08-31
commentary,c1,noun,2.4867,1,1,'kɒmәntәri,"n. 注释, 评论, 说明",六托雅宝,5032,5593,[16],[5],The result is a beautiful commentary on human nature.,26,10,2026-08-31
obedient,c1,,2.4867,1,1,ә'bi:djәnt,"a. 服从的, 顺从的, 孝顺的",研六雅宝,14489,14157,[29],[13],"I have the honour of subscribing myself, Your most loyall, dutifull, faithfull and obedient servant, J.",83,10,2026-08-31
deteriorate,c1,verb,2.4867,1,1,di'tiәriәreit,v. (使)恶化,研六托雅宝,7587,6333,[135],[2],"It's a deteriorating process, evidently.",7,10,2026-08-31
poultry,c1,,2.4867,1,1,'pәultri,n. 家禽,研六托雅,7625,9788,[139],[4],Are you interested in poultry?,22,10,2026-08-31
unconventional,c1,,2.4867,1,1,.ʌnkәn'venʃәnl,"a. 不依惯例的, 非传统的, 非常规的",六托,9964,14452,[245],[9],"Of course he is a Socialist, and he has unconventional ideas; maybe he wouldn't mind marrying into the proletariat so much as some men might.",40,10,2026-08-31
bond,b2,noun,2.41,3,3,bɒnd,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留 / vt. 存入关栈, 使黏合 / vi. 结合",高研四六托雅,1880,2385,"[106, 106, 148]","[4, 13, 9]",Poor Jimmie is having a hard time peddling his bonds.,47,10,2026-08-31
crystal,b2,noun,2.3767,2,4,'kristl,"n. 水晶, 水晶装饰品, 结晶 / a. 水晶的, 水晶一样的, 透明的",研四六托雅,3574,3419,"[26, 26]","[37, 52]",,-1,10,2026-08-31
overall,b2,adjective,2.3233,2,2,'әuvәrɒ:l,"a. 全部的, 全体的, 从头至尾的, 一切在内的 / adv. 从头到尾, 总的说来 / n. 罩衫, 工作服",研四六托雅,1941,1565,"[152, 153]","[8, 8]","Just now he turns up his nose at overalls, but he'll come to them.",33,10,2026-08-31
advance,b2,adjective,2.3167,1,4,әd'vɑ:ns,"n. 前进, 进展, 行过的路程 / vi. 前进, 进展, 提高, 上涨 / vt. 使前进, 促进, 提出, 提高, 使提前, 预付 / a. 前面的, 预先的",高研四六托,2296,1880,[175],[3],I know in advance that you won't like my studio idea.,10,10,2026-08-31
mere,b2,adjective,2.3167,1,4,miә,"n. 小湖, 池塘 / a. 仅仅的, 只不过的",研四六托,2925,2440,[212],[9],"I owe you a great deal more than the mere money, and the rest I will continue to pay all my life in gratitude and affection.",37,10,2026-08-31
cheque,b2,,2.3067,2,7,tʃek,n. 支票,高研四六,31750,2753,"[202, 203]","[5, 11]",Before I begin—here's a cheque for one thousand dollars.,24,10,2026-08-31
pie,b2,,2.29,1,3,pai,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊",中高研四雅,3323,4186,[1],[18],"May it please Your Most Excellent Majesty:  This morning I did eat my breakfast upon a cold turkey pie and a goose, and I did send for a cup of tee (a china drink) of which I had never drank before.",99,10,2026-08-31
unite,b2,verb,2.29,1,3,ju:'nait,"vi. 联合, 接合, 混合 / vt. 使联合, 统一, 使粘合, 使结合",高研四六,4146,3628,[23],[7],"It doesn't matter what part of the United States or Canada they come from, or what denomination they are, we always get the same sermon.",35,10,2026-08-31
