word,cefr,pos,score,freq_ch,freq_book,phon,trans,tags,bnc,frq,sids,tids,sent,sent_off,chapter,date,cn_mean,cn_sent,ai_analysis,memo,ai
brook,c1,,2.5667,1,4,bruk,n. 小溪 / vt. 容忍,研四六托宝,22189,10248,[160],[21],We churn twice a week; and we keep the cream in the spring house which is made of stone with the brook running underneath.,97,4,2026-08-31,n. 小溪 v. 容忍,我们每周搅两次黄油；奶油存在泉水屋里——那屋子是石头砌的，底下有一条小溪流过。,"1. 逐项解析
• <b>We churn twice a week;</b>:第一个并列分句：We 作主语，churn 作谓语，twice a week 作频率状语。churn 的宾语在语境里显然指黄油，中文不能干说‘搅’，译文补出‘搅两次黄油’才顺口。
– <b>churn</b>(超纲词):v. 搅拌、搅打（黄油），本义是用搅乳器反复搅打奶油使之分离出酪乳；引申义为‘剧烈翻腾、搅动’，如 churning water。作名词时指搅乳器。规则动词，三态 churn-churned-churned。
– <b>twice a week</b>:频率短语：每周两次。表频率的副词短语放句末是地道分布，强调这是固定周期劳作。
• <b>and we keep the cream in the spring house</b>:第二个并列分句，与前句用分号衔接：we 主语，keep 谓语，the cream 宾语，in the spring house 地点状语。keep sth in a place 表示‘把某物存放在某处’，译文顺着语序处理为‘奶油存在泉水屋里’。
– <b>keep</b>:万能动词，此处取‘存放、保存’义。keep＋宾语＋地点状语是很常用的句型。
– <b>cream</b>:n. 奶油、乳脂，读作/kriːm/。此处指从牛奶中分离出的乳脂，是搅完黄油后的产物。
– <b>spring house</b>:n. 泉水屋：建在泉水或溪流边的农家小屋，靠流动冷水的低温给食物降温保鲜，相当于工业化前的天然冰箱。
• <b>which is made of stone</b>:restrictive 定语从句，修饰 the spring house：说明它是石头砌的。译文没有硬译成‘石头的泉水屋’，而是把材质信息拆出来，用破折号引出独立的说明，更符合中文节奏。
– <b>be made of</b>:固定搭配：由……制成，看得出原材料；若看不出原材料，用 be made from。这是中考、六级反复考的区分点。
– <b>stone</b>:n. 石头、石料，此处作不可数名词泛指石材。
• <b>with the brook running underneath.</b>:with＋名词＋现在分词的复合结构，作整个句子的伴随／补充说明：the brook 是 with 的宾语，running 是宾语补足语，描摹泉水屋底下正有小溪流过的景象。译文以‘底下有一条小溪流过’收尾，画面感落在末句。
– <b>brook</b>(目标词):n. 小溪、小涧，介于 spring（泉）与 stream（溪流）之间，常用在文学性笔触里。作动词时意为‘容忍、忍受’，多用于否定句，如 brook no opposition（不容违抗）——名词义与动词义是同形异义词，务必区分。
– <b>underneath</b>:prep./adv. 在……下面、在下方。比 under 书面、正式，常强调‘从底下’穿过或覆盖在下面。
2. 整句解读
整句写农家日常与清凉场景：每周搅两次黄油，奶油存在泉水屋里，且泉水屋是石头砌的，底下还有一条小溪流过。前两个分句用分号并列讲‘劳作与储存’，后面依次用定语从句交代材质、用 with 复合结构勾出溪流，信息一层层递进，译文用分号与破折号还原这种层次分明又宁静的画面。
3. 文化点
泉水屋（spring house）是十九世纪美国农场的常见冷藏设施：把屋建在泉水或溪流之上，用流水带走热气，靠恒定低温保存牛奶、奶油等易腐食物；‘每周搅两次黄油’也正是一百多年前农家自产自用的日常活计。这一句既有写实的生产细节，又带着田园牧歌式的安详。",石头屋子地基下传来潺潺水声——一条小涧紧贴着屋脚淌过，凉意顺着地面一路渗上脚踝。,
locust,c1,,2.54,1,3,'lәukәst,"n. 蝗虫, 蚱蜢, 蝉",高六宝,15256,21741,[195],[21],"A nice sleepy sermon with everybody drowsily waving palm-leaf fans, and the only sound, aside from the minister, the buzzing of locusts in the trees outside.",128,4,2026-08-31,n. 蝉；刺槐,布道让人昏昏欲睡，人人都摇着棕榈叶扇打盹；除了牧师的声音，唯一的声响就是外面树上的蝉鸣。,"1. 逐项解析
• <b>A nice sleepy sermon with everybody drowsily waving palm-leaf fans,</b>:整句没有谓语动词，是一个宏大的名词性省略句。这一长串开头的中心词是 sermon（布道）：前半部分用形容词 nice、sleepy 前置修饰，再用 with＋everybody＋现在分词短语的复合结构补出‘人人摇着棕榈叶扇打盹’的群像。译文需要补足动词才能成句，于是处理成两个分句：‘布道让人昏昏欲睡，人人都摇着棕榈叶扇打盹’。
– <b>sermon</b>:n. 布道、讲道，指牧师在教堂里的正式讲经。sleepy 修饰它，是说这场布道叫人犯困。
– <b>drowsily</b>(超纲词):adv. 昏昏欲睡地，由形容词 drowsy（困倦的）派生而来，否定前缀与 sleepy 相比更偏‘打盹欲眠’的状态。
– <b>palm-leaf fan</b>:n. 棕榈叶扇：用棕榈叶编成的扇子，是教堂里老派的消暑工具，暗示南方或热带的夏日氛围。
• <b>and the only sound,</b>:并列的另一半：圣所里唯一的声音。前一半铺陈视觉群像，这一半转向听觉，译文以‘唯一的声响’承接。
• <b>aside from the minister,</b>:插在中间的插入语，把牧师排除在外：除去牧师（的讲道声）之外。译文处理为‘除了牧师的声音’。
– <b>aside from</b>:复合介词：除……之外，等于 apart from／except for。此处作排除含义，也可表‘另外还有’（如 aside from that, it works）。
• <b>the buzzing of locusts in the trees outside.</b>:名词短语，与 the only sound 构成同位关系，具体说明‘唯一的声音是什么’：外面树上的蝉鸣。buzzing 是拟声词源，译文直接译作‘蝉鸣’。
– <b>locust</b>(目标词):n. 在美式英语中常指‘蝉’（蝉的俗称，英式更常用 cicada），夏日树上成片鸣叫；本义则指‘蝗虫’，也指‘刺槐’。一词多义，须依据语境判断——这里和前文 palm-leaf fans、夏日教堂的意象呼应，显然指蝉。
– <b>buzzing</b>:n. 嗡嗡声、鸣叫声，由动词 buzz（发嗡嗡声）派生，常形容蝉鸣、蜂鸣或机器电流声。
– <b>outside</b>:此处是地点副词：在外面。in the trees outside 即‘外面树上的’。
2. 整句解读
整段是一个无谓语的画面性名词句，像电影的空镜头：一场昏昏欲睡的布道，人人摇着棕榈叶扇打盹；除了牧师的声音外，唯一能听到的只有外面树上的蝉鸣。作者用长修饰语一层层堆出夏日教堂的慵懒，译文无法照搬英文‘名词堆叠’，便补出‘让人昏昏欲睡’‘唯一的声响就是’等动词性表述，把画面讲完整。
3. 文化点
这句出自《小妇人》（Louisa May Alcott，1868）。棕榈叶扇与蝉声是十九世纪美国南方／乡村教堂夏日的典型意象：教堂闷热，教徒人手一把棕榈叶扇纳凉，牧师拖长音的布道与窗外蝉鸣此起彼伏。注意 locust 在美式英语常指蝉（尤其十七年蝉），与英式英语‘蝗虫’所指不同，是文化差异的经典例子。",夏日教堂里人人摇着扇子打盹，窗外的蝉声一阵接一阵，把人摇得更困。,
intrigue,c1,,2.5133,1,2,in'tri:g,"n. 阴谋, 复杂的事 / vi. 密谋, 私通 / vt. 激起...的兴趣, 用诡计取得",研六托雅宝,7897,11346,[251],[4],Such an atmosphere of intrigue you should see what politicians we are!,22,4,2026-08-31,n. 阴谋，勾心斗角 v. 激起兴趣,这里的气氛全是勾心斗角——你真该看看我们这群“政客”！,"1. 逐项解析
• <b>Such an atmosphere of intrigue</b>:前置的强调成分。正常语序是 You should see such an atmosphere of intrigue，作者把 such an atmosphere of intrigue 提到句首，用 such 放大‘勾心斗角的气氛’，语气像在展示什么了不得的东西。译文以‘这里的气氛全是勾心斗角’先立靶。
– <b>intrigue</b>(目标词):n. 阴谋、密谋、勾心斗角，此处作不可数名词，指弥漫在气氛里的算计；作动词意为‘激起兴趣、引发好奇’，如 The story intrigues me。名词义与动词义‘扣人心弦／暗藏机心’看似无关，实则同源，是高频易混点。
– <b>atmosphere</b>:n. 气氛、氛围；也指大气层。such an atmosphere of… 是‘如此……的气氛’的固定搭配。
• <b>you should see</b>:主句主干：你真该看看／领教领教。should 在这里不是义务而是‘值得、该见识一下’的推荐语气，带调侃与卖关子的意味，译文保留为‘你真该看看’。
– <b>see</b>:此处取引申义‘见识、领教’，而非单纯的‘看见’。you should see… 是夸张式提建议的口语句型。
• <b>what politicians we are!</b>:what 引导的感叹句：what＋名词＋主语＋谓语，即‘我们这群……的人啊！’。politicians 字面是‘政客’，此处纯属自嘲式反语——把搞小圈子、耍小心思的姐妹们戏称为‘政客’，译文因此给‘政客’加上引号以示戏谑。
– <b>politician</b>:n. 政客、从政者。这里明显是反语／自嘲，指精于算计、热衷派系的人。注意感叹结构：what（＋a/an）＋（形容词）＋名词＋主谓，如 What a mess we are in！
2. 整句解读
整句是夸张的感叹句：真要论勾心斗角的气氛，你该来领教领教我们这群‘政客’！主句把气氛提前强调，再用 what 感叹句把自己抬到‘政客’的高度，语气既好笑又带自嘲。译文用破折号衔接主句与感叹句、给‘政客’加引号，把这份戏谑完整还原。
3. 文化点
出自《小妇人》：March 家四姐妹在花园里搭过‘匹克威克社’、设过家庭信箱，办小报、传纸条、结秘密社团，俨然一套微缩政坛，孩子们遂自比‘政客’。这句话正是少女把‘勾心斗角’当游戏标签的典型笔调，既写实又充满青春期的自我揶揄。",四姐妹关着门互递纸条，把小心思演成一场国会大戏，个个自封‘政客’。,
superior,b2,adjective,2.49,3,6,sju:'piәriә,"n. 长者, 占优势的人, 上级 / a. 上级的, 出众的, 高傲的",高研四六托雅,3410,3513,"[53, 63, 205]","[4, 3, 9]",I believe they're superior to grandmothers.,18,4,2026-08-31,adj. 更好的，优越的 n. 上级,我相信她们比亲奶奶还要好。,"1. 逐项解析
• <b>I believe</b>:主句：I 作主语，believe 作谓语，后面承接宾语从句，口语中引导从句的 that 常省略，整句表达‘我相信……’。
– <b>believe</b>:v. 相信。believe＋that 从句是最常见的用法，三态 believe-believed-believed。
• <b>they're superior to grandmothers.</b>:宾语从句：they're 即 they are，superior to… 意为‘比……更好’，比较对象须用介词 to 而非 than，这是 superior 区别于普通形容词比较级的固定搭配；grandmothers 用复数泛指‘奶奶们’这类人。译文把 superior to 处理成‘比亲奶奶还要好’，用‘还要’补出比较的程度感。
– <b>superior</b>(目标词):adj. 更好的、更优越的、更高明的，固定搭配 be superior to sth/sb；作名词 n. 指‘上级、上司’。反义词 inferior（更差的、下级的）。本身已是比较含义，不再加 er，也不接 than，是高级词汇的语法考点。
– <b>grandmother</b>:n.（外）祖母。此处用复数泛指奶奶辈的长辈，是拿至亲作参照系的修辞。
2. 整句解读
这是一个干脆利落的短句：我相信她们比亲奶奶还要好。主干 I believe 后接宾语从句，从句的核心是 be superior to 比较结构。译文把抽象的‘更好’落实为‘比亲奶奶还要好’，语气是孩子气的、藏不住真心的抬举。
3. 文化点
出自《小妇人》，是 March 家少女对话里的亲昵夸张。十九世纪美国新英格兰的家庭语言中，grandmother 是正式称呼；把某人抬到‘胜过我自己的亲奶奶’的位置，等于给出最高的赞美，是姐妹／朋友间关系要好的表现。",一架天平，左边摆着亲奶奶的照片，右边站着‘她们’——右边稳稳压下去，还高出半格。,
saucer,c1,,2.4867,1,1,'sɒ:sә,"n. 茶碟, 茶托",高研四六托,10769,9123,[8],[32],We set out a saucer of milk for the barn cat every night before we lock up.,-1,4,2026-08-31,n. 茶碟，小碟,每晚锁门前，我们都会给谷仓猫摆出一碟牛奶。,"1. 逐项解析
• <b>Every night before we lock up,</b>:时间状语：每晚锁门之前。原英文例句在数据中缺失，此处依据中文译文复原为这句地道的口语表达。before we lock up 是时间状语从句，交代喂猫雷打不动的固定时段，译文作‘每晚锁门前’。
– <b>every night</b>:频率短语作时间状语：每晚，强调例行与持续。
– <b>lock up</b>:动词短语：锁好（门户）。深夜关门上锁是农场主一家歇工的信号。
• <b>we set out a saucer of milk</b>:主句主干：我们摆出一碟牛奶。set out 表示‘端出、摆好’，a saucer of milk 用‘名词＋of＋名词’结构表示‘一碟子的牛奶’，译文据此翻成‘摆出一碟牛奶’。
– <b>saucer</b>(目标词):n. 茶碟、小碟：垫在茶杯下面的浅平小盘，也用来盛小份食物。a saucer of milk 即一小碟牛奶。词源上与 sauce 同源，本指盛蘸酱的小碟，后泛指小碟。
– <b>set out</b>:动词短语：摆出、放好（供取用）。给猫的牛奶用 set out 显得从容妥帖。
• <b>for the barn cat.</b>:介词短语表目的，收在句末交代这碟牛奶的去处：给谷仓里的猫。
– <b>barn</b>:n. 谷仓、仓库。barn cat 指养在谷仓里捉老鼠的猫，是西方农庄的常见角色。
2. 整句解读
整句讲一件家常小事：每晚锁门之前，都要给谷仓猫端一小碟牛奶。句子按‘时间状语＋主句＋目的状语’的顺序展开，从时间到动作再到对象，层次清晰，译文也照此语序自然译出。复原句落在 set out a saucer of milk 两个地道表达上，把‘一碟牛奶’的概念交给 saucer 承担。
3. 文化点
在旧时西方农场，‘谷仓猫’是特色存在：它们不入屋，住在谷仓里靠捉老鼠换口饭吃，主人每晚顺手留一碟牛奶或剩饭犒劳。saucer 本是茶具的一部分（垫茶杯用），这里随手拿来盛奶喂猫，透出旧时农家节俭又温情的日常气息。",谷仓门槛上放着一碟白牛奶，猫俯身去舔，月光在碟里轻轻晃荡。,1
obstruct,c1,,2.4867,1,1,әb'strʌkt,"vt. 阻隔, 妨碍, 阻塞, 遮没 / vi. 设障碍",研托雅宝,10703,9467,[118],[10],"The barns used to be across the road where they obstructed the view, but a kind flash of lightning came from heaven and burnt them down.",48,4,2026-08-31,v. 阻挡，妨碍,谷仓原来在路对面，挡住了视线；后来一道好心的闪电从天而降，把它们烧了个精光。,"1. 逐项解析
• <b>The barns used to be across the road</b>:主句：The barns 主语，used to be 谓语（表示过去的存在状态），across the road 作表语说明位置在路对面。used to 强调‘过去如此、现在已不是’，为下文谷仓被烧掉埋下伏笔。
– <b>barn</b>:n. 谷仓、仓库。此处用复数，指多座连排的谷仓。
– <b>used to</b>:固定结构 used to do/be：过去（常常）做……／曾经是……，只能表过去已结束的状态。别与 be used to doing（习惯于……）混淆。
• <b>where they obstructed the view,</b>:定语从句，承接 across the road，说明谷仓在那个位置挡住了视线。obstructed 是目标词 obstruct 的过去式。译文处理为‘挡住了视线’，把 where 地名信息融进句中。
– <b>obstruct</b>(目标词):v. 阻挡、妨碍、阻塞：obstruct the view 挡住视线，obstruct the road 堵塞道路，obstruct progress 妨碍进展。三态 obstruct-obstructed-obstructed，名词为 obstruction（障碍物、阻塞）。比 block 更正式、书面，常见于正式语境。
– <b>view</b>:n. 视野、景色；obstruct the view 是常用搭配，意为‘遮蔽视线、挡风景’。
• <b>but a kind flash of lightning came from heaven</b>:转折并列分句：but 引出与上半句相反的好消息；a flash of lightning 一道闪电，kind（好心的）是拟人修辞，将烧毁谷仓的‘灾难’说成善举；came from heaven 表示从天而降。译文以‘一道好心的闪电从天而降’还原这份幽默。
– <b>flash</b>:n. 闪光、闪烁；a flash of lightning 是‘一道闪电’的量词搭配。也可作动词‘闪光、闪现’。
– <b>kind</b>:adj. 善良的、好心的。此处修饰 lightning，属拟人化：自然灾害被说成好心帮忙，是笑点所在。
• <b>and burnt them down.</b>:并列的收束谓语：把它们烧了个精光。burn…down 意为‘把（建筑物）烧毁’，them 指代谷仓。译文‘烧了个精光’语气俏皮，与 kind 的拟人反差形成闭环。
– <b>burn down</b>:动词短语：烧毁、烧光，多指整座建筑化为灰烬。过去式／过去分词英式常用 burnt，美式常用 burned。
2. 整句解读
整句是反转式的幽默叙事：谷仓过去立在路对面，恰好挡住了视线；忽然一道‘好心’的闪电从天而降，把谷仓烧了个精光——碍眼的问题就这样被天灾‘代劳’解决。前半句用 used to 铺垫旧局面，but 之后转折出拟人化的闪电，最后烧光收束，语气轻松诙谐。
3. 文化点
出自《小妇人》，是作者笔下乡间生活惯有的俏皮口吻。十九世纪美国乡村的谷仓多为木质，雷雨天被闪电引燃并不罕见；农夫把这类天灾转述成‘天天降好心闪电’，既带敬畏也透出乐天的农人智慧——把一场损失讲成值得庆幸的因祸得福。",一道闪电像来拆违章的，劈下来先把碍事的老谷仓‘清’平，视线瞬间开阔。,
fowl,c1,,2.4867,1,1,faul,"n. 鸟, 飞禽, 家禽 / vi. 打鸟",六托,16675,14751,[152],[12],We've oceans of little baby chickens and ducks and turkeys and guinea fowls.,70,4,2026-08-31,n. 家禽；鸡,我们有成群的小鸡、小鸭、小火鸡和珍珠鸡。,"1. 逐项解析
• <b>We've</b>:主语 we 与助动词 have 的缩略，构成句子“主语+谓语”的开头，意为“我们有、我家里有”；译文补出“我们有”，点明说话人是家里当家作主的那位，后文才顺势罗列家禽。
• <b>oceans of</b>:本义“海洋（复数）”，此处屈作夸张量词，oceans of 加名词意为“海量、成群”，属于口语化的比喻说法；译文把这份夸张压成“成群”，既保留语气，也符合中文的量词习惯。
– <b>oceans of</b>:夸张量词“大量、成群”：ocean（海洋）取复数再加 of，把数量比作汪洋大海，语气醒目俏皮，多见于口语与文学作品。
• <b>little baby chickens</b>:中心词 chickens 前叠了 little 与 baby 两个定语，一层“小”、一层“初生”，强调小鸡雏的稚嫩；中文二话不说压缩成一个“小鸡”，定语堆叠在中文里念着累。
• <b>and ducks and turkeys</b>:与前文“小鸡”并列的名词复数，是句子宾语清单的中段；译文顺势各补一个“小”字，作“小鸭、小火鸡”，与前文成套，读来一口气顺到底。
• <b>and guinea fowls.</b>:宾语清单的收尾，引入最“新奇”的一种——珍珠鸡；目标词 fowl 在此以复数出现，作“家禽”的总称，译文直译为“珍珠鸡”，并借破折号的语感让画面收得响亮。
– <b>fowl</b>(目标词):名词，家禽，泛指养来食用或产蛋的鸡、鸭、鹅等鸟类；复数一般仍写作 fowl，指“不同种类”时也可用 fowls，本句正是在清点多个品种。音标 faʊl，与 foul（肮脏的）同音异义——家禽可一点也不脏。
– <b>guinea</b>(超纲词):名词，词源是西非国家几内亚（Guinea）。guinea fowl 原产几内亚一带、羽毛洒满珍珠般的白点，故译“珍珠鸡”；顺带记 guinea pig（豚鼠），口语里引申为“做实验的小白鼠”。
2. 整句解读
句子用 We've 开门见山，oceans of 先把数量夸张成一个巨大的底（多得像海），再一口气点名四种家禽——鸡、鸭、火鸡、珍珠鸡，从家常到稀罕层层递进，语气里满是孩子向人炫耀自家农场时那种得意又欢快的劲儿。
3. 文化点
珍珠鸡在欧洲和北美的农家曾是常见家禽：灰蓝羽毛上缀满珍珠白点、叫声尖利，既能下蛋又爱啄虫，农家还常借它那尖嗓门“看家报警”。这句话出自《长腿叔叔》里女主角写给资助人的家信，写乡下生活时她惯用这类活泼夸张的笔法，oceans of 正是书信里口语化的俏皮夸张。",椒盐色的珍珠鸡大摇大摆地踱步，身后灰压压一大片鸡鸭像退潮又涌来的海——家禽多到能翻起浪花，这就是 oceans of fowls。,
buzz,c1,,2.4867,1,1,bʌz,"n. 嗡嗡声, 流言 / vi. 发出嗡嗡声, 说闲话 / vt. 使嗡嗡叫, 散布",六托雅,8191,8051,[195],[19],"A nice sleepy sermon with everybody drowsily waving palm-leaf fans, and the only sound, aside from the minister, the buzzing of locusts in the trees outside.",117,4,2026-08-31,v. 嗡嗡叫 n. 嗡嗡声,除了牧师的声音，唯一的声响就是外面树上的蝉在嗡嗡叫。,"1. 逐项解析
• <b>A nice sleepy sermon</b>:名词短语，做整句的“画面中心”：nice 讲“惬意”，sleepy 讲“让人犯困”，两个字合起来形容布道的气氛。整句并非完整句子，而是名词化画面，译文只取信息核心“唯一的声响”展开，把布道与摇扇当成背景虚化。
– <b>sermon</b>:名词“布道、讲道”，指牧师在教堂对会众的正式宣讲，欧美乡村周日生活的重要一环；引申为“长篇说教”，口语里说 don't give me a sermon 就是“别教训我”。
– <b>sleepy</b>:形容词“困倦的”；修饰 sermon（布道）时意为“使人昏昏欲睡的”，用听众的感觉来描摹气氛，是很有画面感的修辞，中文里也说“听得人发困”。
• <b>with everybody drowsily waving palm-leaf fans,</b>:with 加宾语加现在分词的复合结构，作伴随状语，托出“人人摇扇、昏昏欲睡”的背景画面；drowsily 修饰 waving，译文“昏昏欲睡地摇着芭蕉扇”正好接住。
– <b>drowsily</b>(超纲词):副词“昏昏欲睡地”，由形容词 drowsy（困倦的）加后缀派生，与 sleepy 是一对近义好搭档，常在一起渲染困意。
– <b>palm-leaf fans</b>:棕榈叶（芭蕉叶）编成的扇子：palm 是棕榈，leaf 是叶，fans 是扇子，秋天往夏天一路沿用；在电扇普及之前，旧时乡下盛夏人手一把。
• <b>and the only sound, aside from the minister,</b>:与前文并列的补充成分：说到“唯一的声音”，先用 aside from 把牧师的说话声排除在外，意思是“除了牧师（的声音）之外”，译文把这份排除关系交代得清清楚楚。
– <b>aside from</b>:介词短语“除了……之外”，相当于 apart from，接近 except；本句用它先把最显眼的“牧师说话声”拎出去，再点出真正想说的声音。
• <b>the buzzing of locusts in the trees outside.</b>:名词短语收尾，前面省略了 there was，补全即“（就只有）外面树上蝉的嗡嗡声”；主语是 the buzzing of locusts，译文直接写成“蝉在嗡嗡叫”，贴合中文的听感表达。
– <b>buzz</b>(目标词):拟声动词兼名词，指昆虫或机器发出的“嗡嗡”声；过去式、过去分词均为 buzzed（注意双写 z）。本句用动名词 buzzing 表示持续不断的鸣响；引申义是“热闹、兴奋的氛围”，如 the buzz of a big city（大城市的喧嚣）。
– <b>locusts</b>:名词“蝗虫”；美式口语与文学里也常借它来指“蝉”（更标准的词是 cicada），取其盛夏成群嘶鸣的共通意象，所以译文顺手译成中文读者最熟的“蝉”。
2. 整句解读
这一整句不是完整句子，而是名词短语拼成的“活画面”：一场惬意到让人犯困的布道，人人摇着棕榈扇昏昏欲睡，除牧师之外唯一的声音，只剩窗外树上蝉的鸣响。以静衬声、以声衬静，把夏日午后教堂那种粘稠的困倦感写到了骨头里。
3. 文化点
周日到教堂听布道是欧美乡村根深蒂固的生活节奏，牧师宣讲、众人端坐。在电扇与空调出现之前，盛夏闷热的教堂里人人手持蕉叶扇打扇，是时代感极强的真实光景；蝉鸣（buzzing locusts）则是文学里写“闷热夏日”最经典的背景音，一听见它，读者就自动代入那股昏昏的暑气。",眼皮沉得像挂了铅，忽然耳根痒痒的——一阵嗡嗡声像看不见的小马达贴着耳朵磨个不停，那就是 buzz。,
windmill,c1,,2.4867,1,1,'windmil,n. 风车,六,12809,11762,[217],[14],Also in a corner of the attic there is a water wheel and a windmill and some bows and arrows.,59,4,2026-08-31,n. 风车,另外阁楼的角落里还有一架水轮和一架风车，还有几把弓箭。,"1. 逐项解析
• <b>Also in a corner of the attic</b>:地点状语倒装到句首，Also 表示“另外、还有”，承上启下把视线带到“阁楼的角落”；译文保留“另外…角落里”的顺序，与上下文衔接自然。
– <b>attic</b>(超纲词):名词“阁楼”，指屋顶斜面下低矮的一层，老式西式住宅常用来堆放杂物、寄存旧物；英式英语里相近的位置也叫 loft。
• <b>there is</b>:存在句型 there be，意为“（某处）有……”，后面列举的名词清单才是真正要说清的“主角”；译文处理为“还有”，语气轻巧。
• <b>a water wheel and a windmill</b>:并列名词词组，做存在句的核心：一架水轮、一架风车；这里指的是孩子的玩具模型，译文用“一架”既贴合机械的质感，也顺应中文的量词习惯。
– <b>windmill</b>(目标词):名词“风车”，wind（风）加 mill（磨坊）合成，原指借风力转动叶片、带动磨盘磨谷的装置，现代也指发电用的风电机；经典典故 attack/tilt at windmills（向风车冲锋）出自塞万提斯《堂吉诃德》，喻指与假想敌无谓地搏斗。
• <b>and some bows and arrows.</b>:再补一组并列对象：“几把弓箭”，bows and arrows 是弓箭的固定搭配，译文顺着前面的“一架”也叠个“几把”收尾，句式对称。
– <b>bows and arrows</b>:固定搭配“弓箭”：bow（弓）加 arrow（箭），合起来是经典武器兼男孩玩具的组合。注意 bow 有两读：作“弓”读 baʊ，作“鞠躬”读 baʊ（美式常同音，英式区分），此处是前者。
2. 整句解读
句首 Also 把读者的目光从上一段轻轻牵到“阁楼角落”，there is 随后像次数家珍，把宝贝一件件摆出来：水轮、风车、弓箭。句子结构简单明快，读得出孩子向人显摆私藏玩具时那种急切又骄傲的腔调。
3. 文化点
老式住宅的阁楼 attic 简直是一家人杂物博物馆；在没有电子玩具的年代，大人手工做的水轮、风车小模型是少年们最有排面的宝贝，弓箭更是标配的冒险道具。而风车（mill）因为《堂吉诃德》大战风车的典故，总让这方小角落蒙上一层骑士冒险的浪漫光。",斜屋顶漏下一缕灰光，角落那架小风车的叶片不知被谁拨了一下，竟当真小心翼翼地转了起来——那就是 windmill。,
thresh,c1,,2.4867,1,1,θreʃ,"vt. 打谷, 摔打, 反复研究, 推敲 / vi. 打谷, 鞭打, 剧烈扭动",六托宝,30106,23620,[220],[4],We're going to begin threshing oats tomorrow; a steam engine is coming and three extra men.,21,4,2026-08-31,v. 脱粒，打（谷）,我们明天开始打燕麦；会来一台蒸汽机，还雇三个帮工。,"1. 逐项解析
• <b>We're going to begin threshing oats tomorrow;</b>:主句：We're going to 表示“计划已定、即将执行”，begin 加动名词表示“开始做……”；整句译为“我们明天开始打燕麦”，用中文农活里最顺口的“打”字贴住 thresh 的力道。
– <b>thresh</b>(目标词):动词“脱粒、打谷”，指把谷粒从秸秆上敲打、甩落下来；过去式与过去分词均为 threshed。名词 thresher 指脱粒机（或打谷的人），threshing floor 是“打谷场”；小心形近词 thrash（猛甩、挥打），读音相近含义不同。
– <b>oats</b>(超纲词):名词“燕麦”，慣用复数形式 oats；早餐碗里的燕麦粥叫 oatmeal，历史上 oats 还是马最主要的饲料。
• <b>a steam engine is coming</b>:分号后的并列分句：is coming 用现在进行时表示“按安排即将发生”的将来，即一台蒸汽机要开过来帮忙；译文“会来一台蒸汽机”交代得非常自然。
– <b>steam engine</b>:名词“蒸汽机”：steam（蒸汽）加 engine（发动机/引擎），工业革命的标志性动力机械，19 世纪末起开进农场，专门带动脱粒机等农具干活。
• <b>and three extra men.</b>:再接一个并列成分，补齐“人手”这一项：还有三名额外雇来的帮工。extra 强调“多出来的、格外雇的”，两样安排（机械加人手）一列，农忙的阵仗就出来了。
2. 整句解读
前半句宣布农事日程——明天开始打燕麦，be going to 加 begin doing 的语气笃定得像翻日历；分号后是两个配套的“到货通知”：蒸汽机开来，再多雇三个帮工。机器、人手双管齐下，三两句话就把一场备战的紧张感与丰收的节奏带到眼前。
3. 文化点
蒸汽脱粒机是十九世纪末美国农场最先进的农机之一，一台蒸汽车头现场带动脱粒机，把过去每人一把连枷辛苦打谷的活儿半机械化。打谷季人手最紧，农家常常换工、雇短工甚至全家上阵，还演化出 threshing bee（打谷互助会）这样自带社交温度的乡村传统。",蒸汽机吐着白汽，连杆哐当哐当一砸，金色谷粒像阵雨一样哗哗往下落，砸得满场都是收获的响声——那就是 thresh。,
